accession	species	ST	Bla_acquired	Bla_ESBL_acquired	Bla_Carb_acquired	AGly_acquired	Flq_acquired	Tet_acquired	Sul_acquired	virulence_score	resistance_score
ERR1023686	Klebsiella pneumoniae	ST323	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR1023694	Klebsiella pneumoniae	ST310	-	-	-	-	-	-	-	0	0
ERR1023701	Klebsiella pneumoniae	ST34	-	-	-	-	-	-	-	0	0
ERR1023724	Klebsiella variicola subsp. variicola	ST2996	-	-	-	-	-	-	-	0	0
ERR1023738	Klebsiella pneumoniae	ST133	-	-	-	-	-	-	-	2	0
ERR1023744	Klebsiella pneumoniae	ST221	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR1023766	Klebsiella pneumoniae	ST27	-	-	-	-	-	-	-	0	0
ERR1023777	Klebsiella pneumoniae	ST437	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	tet(D)	sul1	0	1
ERR1023783	Klebsiella pneumoniae	ST323	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR1023789	Klebsiella pneumoniae	ST3042	-	-	-	-	-	-	-	1	0
ERR1023796	Klebsiella pneumoniae	ST2998	-	-	-	-	-	-	-	1	0
ERR1023807	Klebsiella pneumoniae	ST35	-	-	-	-	-	-	-	1	0
ERR1023811	Klebsiella pneumoniae	ST256	-	-	-	-	-	-	-	0	0
ERR1023819	Klebsiella variicola subsp. variicola	ST347	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR1023825	Klebsiella pneumoniae	ST17-1LV	LAP-2;TEM-1D.v1^	CTX-M-14	-	strA.v1^;strB.v1	qnrS1	tet(A).v1;tet(D)	sul1;sul2	0	1
ERR1023841	Klebsiella pneumoniae	ST253	-	-	-	-	-	-	-	0	0
ERR1023853	Klebsiella variicola subsp. variicola	ST3079	-	-	-	-	-	-	-	0	0
ERR1023854	Klebsiella variicola subsp. variicola	ST919	-	-	-	-	-	-	-	0	0
ERR1024576	Klebsiella pneumoniae	ST340	-	CTX-M-15	KPC-2	aac(3)-IId^;aadA2^;aph(3')-VIa*;aph3-Ia.v1^	-	tet(D)	sul1	0	3
ERR1024579	Klebsiella pneumoniae	ST340	LAP-2;OXA-1;OXA-2;OXA-9.v1;TEM-1D.v1^	CTX-M-15;CTX-M-2	KPC-2	aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VIa*;aph(3')-VIa*;strA.v1^;strB.v1	qnrB1.v2^;qnrS1	tet(D)	sul1;sul2	0	2
ERR1024640	Klebsiella pneumoniae	ST340	OXA-9.v1	CTX-M-8	KPC-2	aac(3)-IId^;aac(6')-Ib'.v1;aadA*;aadA2^;aph3-Ia.v1^;sat-2	qnrE1	-	sul1	1	2
ERR10321516	Klebsiella pneumoniae	ST37	-	-	OXA-48	-	-	-	-	1	2
ERR10321616	Klebsiella pneumoniae	ST392	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10321660	Klebsiella pneumoniae	ST377	CMY-2.v2;OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1;strB.v1	-	tet(A).v2	sul2	1	2
ERR10321661	Klebsiella pneumoniae	ST340	-	CTX-M-15	KPC-2	aadA2^;rmtG	-	-	sul1	0	2
ERR10321723	Klebsiella pneumoniae	ST39	-	-	KPC-2	aac(3)-IId^;aac(6')-Ib'.v1	-	-	-	1	3
ERR10321813	Klebsiella pneumoniae	ST505	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10321834	Klebsiella pneumoniae	ST525	OXA-1;TEM-1D.v1^	CTX-M-15	NDM-1;OXA-181	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;rmtC	-	tet(A).v1;tet(D)	sul1*	0	2
ERR10321869	Klebsiella pneumoniae	ST22	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-181	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
ERR10358249	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1247-2LV	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	-	sul2	0	1
ERR10358269	Klebsiella pneumoniae	ST3113	-	CTX-M-15	-	-	qnrS1	-	-	0	1
ERR10358286	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2673	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	-	sul2	0	1
ERR10358310	Klebsiella pneumoniae	ST22	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA1.v1^;aadA2^	qnrS1	tet(D)	sul1;sul2	0	1
ERR10358354	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2639-2LV	OXA-1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	-	0	0
ERR10358371	Klebsiella pneumoniae	ST540	TEM-1D.v1^	CTX-M-15	-	strB.v1	qnrS1	tet(A).v1	sul2	0	1
ERR10358381	Klebsiella pneumoniae	ST399-1LV	-	CTX-M-3	-	aadA1.v1^	-	tet(D)	sul1	0	1
ERR10358482	Klebsiella quasipneumoniae subsp. similipneumoniae	ST138-2LV	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	-	sul2	0	1
ERR10358542	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2721-1LV	-	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA1.v1^;aadA16*;strA.v1*;strB.v1*	qnrB6^	tet(D)	sul1;sul1;sul2	0	1
ERR1035985	Klebsiella pneumoniae	ST564	-	-	-	-	-	-	-	1	0
ERR1035990	Klebsiella variicola subsp. variicola	ST681	-	-	-	-	-	-	-	0	0
ERR10419890	Klebsiella variicola subsp. variicola	ST597	-	CTX-M-15	-	aadA*;aadA5;aph3-Ia.v1^;sat-2;strA.v1^;strB.v1	qnrS1	tet(D)	sul1;sul2	0	1
ERR10419932	Klebsiella pneumoniae	ST39-1LV	TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*	-	tet(A).v1	sul1;sul2	1	1
ERR10431521	Klebsiella pneumoniae	ST45	OXA-1^;TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrB1.v2^	-	sul2*	1	1
ERR10431864	Klebsiella pneumoniae	ST45	-	-	-	-	-	-	-	1	0
ERR10431922	Klebsiella pneumoniae	ST219	-	CTX-M-15	-	aadA2^;aph3-Ia.v1^;strA.v1*;strB.v1*	qnrS1	-	sul1;sul2	0	1
ERR10432367	Klebsiella pneumoniae	ST6	-	-	-	-	-	-	-	1	0
ERR10432437	Klebsiella pneumoniae	ST37	-	-	-	-	-	-	-	0	0
ERR10432450	Klebsiella variicola subsp. variicola	ST3090-2LV	-	-	-	-	-	-	-	0	0
ERR10432657	Klebsiella pneumoniae	ST378-1LV	-	CTX-M-55	-	aac(3)-IId^	qnrS1	-	-	0	1
ERR10432830	Klebsiella pneumoniae	ST12	-	-	-	-	-	-	-	0	0
ERR10432831	Klebsiella pneumoniae	ST85-2LV	-	-	-	-	-	-	-	0	0
ERR10436520	Klebsiella pneumoniae	ST309	-	-	-	-	-	-	-	0	0
ERR10437266	Klebsiella pneumoniae	ST152	OXA-1;TEM-1D.v1^	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB6^	-	sul1;sul2	1	2
ERR10437352	Klebsiella pneumoniae	ST152	OXA-1;TEM-1D.v1^	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB6^	-	sul1;sul2	1	2
ERR10437364	Klebsiella variicola subsp. variicola	ST208	TEM-1D.v1^	CTX-M-12	KPC-2	rmtG	-	-	sul2	0	2
ERR10437762	Klebsiella pneumoniae	ST105	-	-	-	-	-	-	-	1	0
ERR10437763	Klebsiella pneumoniae	ST37	-	-	-	-	-	-	-	0	0
ERR10438026	Klebsiella pneumoniae	ST70	-	-	-	-	-	tet(D)	sul2	0	0
ERR10438029	Klebsiella pneumoniae	ST1119	TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1;aadA^;strA.v1;strB.v1	-	tet(A).v1	sul1^	0	1
ERR10438648	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2604	-	SHV-12	-	aadA2	qnrS1	-	sul1	0	1
ERR10438735	Klebsiella pneumoniae	ST281	LAP-2;OXA-10;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib'.v1;aadA*	qnrS1	-	sul2	0	1
ERR10438910	Klebsiella pneumoniae	ST43	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrS1	tet(A).v1	sul2	0	1
ERR10439050	Klebsiella variicola subsp. variicola	ST204-4LV	-	-	-	-	-	-	-	0	0
ERR10439053	Klebsiella variicola subsp. variicola	ST1094-3LV	-	-	-	-	-	-	-	0	0
ERR10440873	Klebsiella pneumoniae	ST37	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR10440930	Klebsiella pneumoniae	ST307-1LV	OXA-1?;TEM-1D.v1^	CTX-M-15^	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2*;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10440935	Klebsiella pneumoniae	ST3348-1LV	-	CTX-M-1	-	aadA5;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	sul2*	4	1
ERR10441277	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1355-2LV	-	-	-	-	-	-	-	0	0
ERR10441563	Klebsiella pneumoniae	ST101	-	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	tet(D)	-	1	2
ERR10447122	Klebsiella pneumoniae	ST17	TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1;strA.v1*;strB.v1*	-	-	sul2	1	1
ERR10461820	Klebsiella pneumoniae	ST461	-	-	VIM-1	aac(6')-Ib4^;aadA1.v1^	qnrS1	-	sul1	0	2
ERR10461823	Klebsiella variicola subsp. variicola	ST4149	OXA-1	CTX-M-15	OXA-48	aac(6')-Ib-cr.v2*	-	-	-	0	2
ERR10461836	Klebsiella pneumoniae	ST1393	-	-	OXA-48	-	-	-	-	1	2
ERR10461839	Klebsiella pneumoniae	ST15-1LV	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(6')-Ib-cr.v2;aadA^;strA.v1^;strB.v1	-	tet(A).v1	sul1^;sul2	1	2
ERR10461862	Klebsiella pneumoniae	ST3248	OXA-1;TEM-1D.v1^;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10461875	Klebsiella pneumoniae	ST3248	OXA-1	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10461877	Klebsiella pneumoniae	ST11-1LV	-	CTX-M-15	OXA-48	aadA2^;aph3-Ia.v1^	-	-	sul1	1	3
ERR10471668	Klebsiella pneumoniae	ST437	-	CTX-M-15	OXA-232	-	-	-	-	1	2
ERR10471754	Klebsiella quasipneumoniae subsp. similipneumoniae	ST3871	-	-	-	-	-	-	-	0	0
ERR10471842	Klebsiella pneumoniae	ST340-1LV	-	-	NDM-5	aac(6')-Ib;aadA2^;aph3-Ia.v1^;rmtF	qnrB1.v1	-	sul1	0	2
ERR10471880	Klebsiella pneumoniae	ST3157	-	-	-	-	-	-	-	0	0
ERR10471881	Klebsiella pneumoniae	ST1877	-	-	-	-	-	-	-	0	0
ERR10471892	Klebsiella pneumoniae	ST231	-	CTX-M-15	OXA-232	aac(6')-Ib;aadA2^;rmtF	-	-	sul1	4	2
ERR10471926	Klebsiella pneumoniae	ST395	TEM-1D.v1^	CTX-M-15	NDM-5;OXA-232	aadA2^;rmtB	qnrS1	-	sul1	1	2
ERR10471942	Klebsiella pneumoniae	ST2096	OXA-1	-	OXA-232	aac(6')-Ib-cr.v2;sat-2	-	-	-	1	2
ERR10471946	Klebsiella pneumoniae	ST2096	OXA-1	-	OXA-232	aac(6')-Ib-cr.v2;sat-2	-	-	-	1	2
ERR10471956	Klebsiella pneumoniae	ST2096	OXA-1;TEM-1D.v1^	CTX-M-15;VEB-6*	OXA-232	aac(6')-Ib-cr.v2*;aadA2^;ant(2'')-Ia;aph3-Ia.v1^;armA;strB.v1*	-	tet(D);tet(J)*	sul1	4	2
ERR10663183	Klebsiella pneumoniae	ST874	-	CTX-M-15	NDM-1	-	qnrS1	-	sul1;sul2	3	2
ERR10663210	Klebsiella pneumoniae	ST23	LAP-2;OXA-1	CTX-M-55	NDM-1	aac(3)-IIa.v1*;aac(6')-Ib-cr.v2	qnrS1	tet(A).v1	sul1;sul2	4	2
ERR10663233	Klebsiella pneumoniae	ST395	OXA-1*	-	NDM-1	aac(6')-Ib-cr.v2;aph(3')-VI	qnrS1	-	sul1;sul2	1	2
ERR10663256	Klebsiella pneumoniae	ST147	OXA-1;OXA-9.v1;TEM-1D.v1^	CTX-M-15	NDM-1	aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI?;armA	qnrB1.v2^;qnrS1	-	sul1	1	2
