sample_id	biosample	blaCTX-M	blaTEM	blaSHV	blaKPC	blaNDM	blaOXA-48-like	qnrB	aac6-Ib-cr	sul1	sul2	dfrA12	dfrA14	mcr-1
DRR385972	SAMD00497468	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR385973	SAMD00497469	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR385992	SAMD00497488	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386014	SAMD00497510	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386018	SAMD00497514	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386030	SAMD00497526	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386034	SAMD00497530	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386038	SAMD00497534	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386075	SAMD00497571	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386087	SAMD00497583	0	1	0	0	0	0	1	0	1	1	0	0	0
DRR386109	SAMD00497605	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386117	SAMD00497613	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386134	SAMD00497630	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386142	SAMD00497638	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR386165	SAMD00497661	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386167	SAMD00497663	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR386169	SAMD00497665	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386174	SAMD00497670	0	1	0	0	0	0	0	0	0	1	0	0	0
DRR386183	SAMD00497679	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386190	SAMD00497686	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386195	SAMD00497691	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386206	SAMD00497702	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386208	SAMD00497704	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR386216	SAMD00497712	0	0	0	0	0	0	1	0	1	0	0	0	0
DRR386247	SAMD00497743	0	0	0	0	0	0	0	1	1	0	0	0	0
DRR386285	SAMD00497781	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR386312	SAMD00497808	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR386330	SAMD00497826	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386378	SAMD00497874	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386420	SAMD00497916	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386429	SAMD00497925	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386461	SAMD00497957	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR386463	SAMD00497959	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386474	SAMD00497970	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR386485	SAMD00497981	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR386489	SAMD00497985	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR386529	SAMD00498025	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386586	SAMD00498082	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR386603	SAMD00498099	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386607	SAMD00498103	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386612	SAMD00498108	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386648	SAMD00498144	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386653	SAMD00498149	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386689	SAMD00498185	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386695	SAMD00498191	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386696	SAMD00498192	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386702	SAMD00498198	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR386736	SAMD00498232	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386737	SAMD00498233	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR386753	SAMD00498249	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386754	SAMD00498250	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386758	SAMD00498254	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR386759	SAMD00498255	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386768	SAMD00498264	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386798	SAMD00498294	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386799	SAMD00498295	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR386808	SAMD00498304	0	0	0	0	0	0	0	1	1	0	0	0	0
DRR386818	SAMD00498314	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386839	SAMD00498335	0	1	0	0	0	0	0	0	0	1	0	0	0
DRR386840	SAMD00498336	1	0	0	0	0	0	0	1	1	0	0	0	0
DRR386844	SAMD00498340	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR386848	SAMD00498344	1	1	1	0	0	0	0	0	0	1	0	0	0
DRR386862	SAMD00498358	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR386879	SAMD00498375	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR386881	SAMD00498377	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR386882	SAMD00498378	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR386909	SAMD00498405	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR386912	SAMD00498408	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387051	SAMD00498547	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387070	SAMD00498566	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387095	SAMD00498591	1	1	0	0	0	0	0	1	1	0	0	1	0
DRR387127	SAMD00498623	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR387162	SAMD00498658	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387178	SAMD00498674	0	1	0	0	0	0	1	0	1	0	0	0	0
DRR387208	SAMD00498704	1	0	0	0	1	0	0	0	1	0	1	0	0
DRR387214	SAMD00498710	1	0	0	0	0	0	0	1	0	0	1	0	1
DRR387219	SAMD00498715	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387254	SAMD00498750	0	0	0	0	0	0	0	0	1	0	0	0	0
DRR387288	SAMD00498784	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387298	SAMD00498794	0	0	0	0	0	0	1	0	1	0	0	0	0
DRR387299	SAMD00498795	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387300	SAMD00498796	0	0	1	0	0	0	0	0	0	0	0	0	0
DRR387301	SAMD00498797	0	1	0	0	0	0	0	0	0	1	0	0	0
DRR387324	SAMD00498820	0	0	0	0	0	0	0	1	0	1	0	1	0
DRR387339	SAMD00498835	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387342	SAMD00498838	1	0	0	0	0	0	0	0	0	1	0	0	0
DRR387355	SAMD00498851	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387357	SAMD00498853	0	1	0	0	0	0	1	0	1	0	0	0	0
DRR387391	SAMD00498887	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387430	SAMD00498926	0	0	0	0	0	0	0	0	0	1	0	0	0
DRR387433	SAMD00498929	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387449	SAMD00498945	0	0	1	0	0	0	0	0	0	0	0	0	0
DRR387456	SAMD00498952	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387471	SAMD00498967	1	1	0	0	0	0	0	0	0	1	0	1	0
DRR387483	SAMD00498979	0	1	0	0	0	0	0	0	0	1	1	0	0
DRR387488	SAMD00498984	0	1	0	0	0	0	1	1	1	0	0	0	0
DRR387517	SAMD00499013	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387542	SAMD00499038	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387545	SAMD00499041	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387549	SAMD00499045	1	1	0	0	0	0	0	1	1	1	0	0	0
DRR387557	SAMD00499053	1	1	0	0	0	0	0	1	0	1	0	1	0
DRR387566	SAMD00499062	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387570	SAMD00499066	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387609	SAMD00499105	1	1	0	0	0	0	0	1	1	1	0	0	0
DRR387613	SAMD00499109	0	0	0	0	0	0	1	0	1	0	0	0	0
DRR387639	SAMD00499135	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387649	SAMD00499145	1	0	0	0	0	0	0	1	0	1	0	0	0
DRR387681	SAMD00499177	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR387686	SAMD00499182	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387703	SAMD00499199	0	0	0	0	1	0	0	0	0	0	0	0	0
DRR387709	SAMD00499205	0	0	0	0	1	0	0	0	1	0	1	0	0
DRR387733	SAMD00499229	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR387735	SAMD00499231	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR387757	SAMD00499253	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR387775	SAMD00499271	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR387780	SAMD00499276	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR387799	SAMD00499295	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387800	SAMD00499296	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387821	SAMD00499317	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387824	SAMD00499320	1	0	0	0	0	1	0	0	1	1	0	0	0
DRR387827	SAMD00499323	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387831	SAMD00499327	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387865	SAMD00499361	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR387887	SAMD00499383	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387902	SAMD00499398	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387909	SAMD00499405	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR387934	SAMD00499430	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387936	SAMD00499432	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR387942	SAMD00499438	0	1	0	0	0	0	0	0	1	1	0	0	0
DRR387963	SAMD00499459	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR387969	SAMD00499465	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR387974	SAMD00499470	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR387982	SAMD00499478	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR388011	SAMD00499507	1	0	0	0	0	0	0	0	0	1	0	0	0
DRR388028	SAMD00499524	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388029	SAMD00499525	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388046	SAMD00499542	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR388089	SAMD00499585	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388142	SAMD00499638	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388155	SAMD00499651	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388170	SAMD00499666	0	0	0	0	0	0	1	0	1	0	0	0	0
DRR388174	SAMD00499670	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR388184	SAMD00499680	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388241	SAMD00499737	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR388261	SAMD00499757	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR388283	SAMD00499779	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR388289	SAMD00499785	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR388290	SAMD00499786	0	1	0	0	0	0	0	0	1	1	0	1	0
DRR388302	SAMD00499798	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR388332	SAMD00499828	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388346	SAMD00499842	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388347	SAMD00499843	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388355	SAMD00499851	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388367	SAMD00499863	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388379	SAMD00499875	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388410	SAMD00499906	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388411	SAMD00499907	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388441	SAMD00499937	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388458	SAMD00499954	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR388461	SAMD00499957	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388464	SAMD00499960	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388472	SAMD00499968	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR388478	SAMD00499974	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388485	SAMD00499981	0	0	0	0	0	0	0	0	1	0	0	0	0
DRR388500	SAMD00499996	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388506	SAMD00500002	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR388518	SAMD00500014	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388526	SAMD00500022	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388551	SAMD00500047	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388554	SAMD00500050	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR388555	SAMD00500051	1	1	0	0	0	0	0	1	0	0	0	0	0
DRR388560	SAMD00500056	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388575	SAMD00500071	1	0	0	0	1	0	0	0	1	0	1	0	0
DRR388600	SAMD00500096	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388624	SAMD00500120	1	0	0	0	0	0	0	0	1	0	1	0	0
DRR388627	SAMD00500123	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR388643	SAMD00500139	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388645	SAMD00500141	1	0	0	0	0	0	0	0	1	0	1	0	0
DRR388666	SAMD00500162	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR388679	SAMD00500175	1	1	0	0	0	0	1	1	0	1	0	1	0
DRR388718	SAMD00500214	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388733	SAMD00500229	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388750	SAMD00500246	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388777	SAMD00500273	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR388814	SAMD00500310	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388860	SAMD00500356	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388861	SAMD00500357	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR388915	SAMD00500411	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR388935	SAMD00500431	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR388936	SAMD00500432	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR388950	SAMD00500446	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR388996	SAMD00500492	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389001	SAMD00500497	0	0	0	0	0	0	0	0	1	0	0	0	0
DRR389007	SAMD00500503	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR389044	SAMD00500540	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389054	SAMD00500550	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389058	SAMD00500554	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389090	SAMD00500586	0	0	0	0	0	0	0	1	1	0	0	0	0
DRR389097	SAMD00500593	0	0	0	0	0	0	0	1	1	0	0	0	0
DRR389118	SAMD00500614	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR389128	SAMD00500624	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR389161	SAMD00500657	0	1	0	0	0	0	0	0	0	1	0	1	0
DRR389185	SAMD00500681	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389188	SAMD00500684	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389191	SAMD00500687	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR389204	SAMD00500700	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389211	SAMD00500707	0	0	0	0	0	0	1	0	1	0	0	0	0
DRR389216	SAMD00500712	1	1	0	0	0	0	0	1	1	0	0	0	0
DRR389237	SAMD00500733	0	1	0	0	0	0	1	0	1	1	0	0	0
DRR389238	SAMD00500734	1	1	0	0	0	0	0	0	1	0	0	0	0
DRR389244	SAMD00500740	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389273	SAMD00500769	1	1	0	0	0	0	0	1	0	1	1	0	0
DRR389276	SAMD00500772	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR389278	SAMD00500774	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389280	SAMD00500776	0	1	0	0	1	0	0	0	0	0	0	0	0
DRR389293	SAMD00500789	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389339	SAMD00500835	1	1	0	0	0	0	0	0	1	0	0	1	0
DRR389361	SAMD00500857	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389363	SAMD00500859	0	0	0	0	0	0	0	0	0	1	0	0	0
DRR389396	SAMD00500892	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389397	SAMD00500893	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389438	SAMD00500934	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389448	SAMD00500944	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389463	SAMD00500959	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389500	SAMD00500996	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389535	SAMD00501031	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR389537	SAMD00501033	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389543	SAMD00501039	1	1	0	0	1	0	0	0	0	1	0	1	0
DRR389559	SAMD00501055	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389574	SAMD00501070	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389578	SAMD00501074	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389638	SAMD00501134	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389641	SAMD00501137	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389669	SAMD00501165	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389672	SAMD00501168	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389676	SAMD00501172	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389691	SAMD00501187	0	1	0	0	0	0	0	0	0	1	0	0	0
DRR389729	SAMD00501225	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389736	SAMD00501232	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389744	SAMD00501240	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR389746	SAMD00501242	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389766	SAMD00501262	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389768	SAMD00501264	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389772	SAMD00501268	0	0	0	0	0	0	0	0	0	1	0	0	0
DRR389788	SAMD00501284	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389798	SAMD00501294	1	1	0	0	0	0	0	0	1	0	0	0	0
DRR389819	SAMD00501315	0	0	0	0	0	0	0	0	1	0	0	0	0
DRR389827	SAMD00501323	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389831	SAMD00501327	1	0	1	0	0	0	1	1	1	0	0	0	0
DRR389839	SAMD00501335	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR389842	SAMD00501338	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389881	SAMD00501377	0	0	0	0	0	0	0	0	1	0	0	0	0
DRR389889	SAMD00501385	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR389894	SAMD00501390	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR389983	SAMD00501479	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389988	SAMD00501484	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR389990	SAMD00501486	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR389991	SAMD00501487	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR390034	SAMD00501530	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR390042	SAMD00501538	0	1	0	0	0	0	0	0	1	0	0	0	0
DRR390146	SAMD00501642	0	0	1	0	0	0	1	0	0	1	0	0	0
DRR390147	SAMD00501643	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR390153	SAMD00501649	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390163	SAMD00501659	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390164	SAMD00501660	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390175	SAMD00501671	1	0	0	0	0	0	0	0	0	1	0	0	0
DRR390182	SAMD00501678	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR390250	SAMD00501746	1	1	0	0	0	0	0	1	0	0	0	0	0
DRR390259	SAMD00501755	1	1	0	0	0	0	0	0	0	1	0	0	0
DRR390281	SAMD00501777	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390285	SAMD00501781	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390313	SAMD00501809	1	1	0	0	0	0	0	0	1	0	0	0	0
DRR390318	SAMD00501814	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390327	SAMD00501823	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390337	SAMD00501833	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390340	SAMD00501836	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390348	SAMD00501844	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390363	SAMD00501859	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR390369	SAMD00501865	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390373	SAMD00501869	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR390403	SAMD00501899	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR390415	SAMD00501911	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR390418	SAMD00501914	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR390426	SAMD00501922	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR390429	SAMD00501925	1	0	0	0	0	0	0	1	0	0	0	0	0
DRR390442	SAMD00501938	1	1	0	0	0	0	0	0	1	1	0	1	0
DRR390448	SAMD00501944	0	1	0	0	0	0	1	0	1	0	0	0	0
DRR390461	SAMD00501957	0	0	0	0	0	0	0	1	1	0	0	0	0
DRR390482	SAMD00501978	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390487	SAMD00501983	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR390503	SAMD00501999	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR390573	SAMD00502069	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390584	SAMD00502080	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR390599	SAMD00502095	0	0	1	0	0	0	0	0	0	0	0	0	0
DRR390629	SAMD00502125	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390635	SAMD00502131	0	0	1	0	0	0	0	0	0	0	0	0	0
DRR390637	SAMD00502133	0	0	1	0	0	0	0	0	0	0	0	0	0
DRR390715	SAMD00502211	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR390729	SAMD00502225	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR390733	SAMD00502229	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390734	SAMD00502230	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR390812	SAMD00502308	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR390855	SAMD00502351	1	0	0	0	0	0	0	0	1	0	0	0	0
DRR390907	SAMD00502403	0	0	0	0	1	1	0	0	1	0	1	0	0
