sample_id	biosample	mecA	blaZ	ermC	ermB	tetK	mupA
ERR024691	SAMEA862617	1	0	1	0	0	0
ERR024974	SAMEA862657	1	0	0	0	0	0
ERR024977	SAMEA862534	1	0	0	0	0	0
ERR026007	SAMEA862564	1	0	1	0	0	0
ERR026008	SAMEA862604	1	0	0	0	0	0
ERR026009	SAMEA862605	1	0	0	0	0	0
ERR026010	SAMEA862602	1	0	0	0	0	0
ERR026011	SAMEA862603	1	0	0	0	0	0
ERR026649	SAMEA862583	1	0	0	0	0	0
ERR026652	SAMEA862577	1	0	1	0	0	1
ERR026662	SAMEA862541	1	0	0	0	0	0
ERR026665	SAMEA862558	1	0	0	0	0	0
ERR026667	SAMEA862559	1	0	0	0	0	0
ERR026688	SAMEA862569	1	0	0	0	0	0
ERR026705	SAMEA862618	1	0	0	0	0	0
ERR026707	SAMEA862624	1	0	0	0	0	0
ERR026709	SAMEA862622	1	0	0	0	0	0
ERR026710	SAMEA862627	1	0	0	0	0	0
ERR029342	SAMEA800387	1	1	1	0	0	0
ERR029343	SAMEA800313	1	1	1	0	0	0
ERR029344	SAMEA800312	1	1	0	0	0	0
ERR029348	SAMEA800348	1	1	0	0	0	0
ERR029349	SAMEA800310	1	1	0	0	0	0
ERR029350	SAMEA800309	1	1	1	0	0	0
ERR029351	SAMEA800308	1	1	1	0	0	0
ERR029352	SAMEA800307	1	1	1	0	1	0
ERR029355	SAMEA800193	1	1	1	0	0	0
ERR029357	SAMEA800198	1	1	1	0	0	0
ERR029358	SAMEA800366	1	1	1	0	0	0
ERR029359	SAMEA800243	1	1	1	0	0	0
ERR029362	SAMEA800306	1	1	1	0	0	0
ERR029363	SAMEA800315	1	1	1	0	0	0
ERR029364	SAMEA800314	1	1	1	0	1	0
ERR029368	SAMEA800189	1	1	1	0	0	0
ERR029373	SAMEA800368	1	1	1	0	0	0
ERR029374	SAMEA800367	1	1	1	0	0	0
ERR029376	SAMEA800361	1	1	1	0	0	0
ERR029377	SAMEA800364	1	1	1	0	0	0
ERR029379	SAMEA800365	1	1	0	0	0	0
ERR029383	SAMEA800300	1	1	1	0	0	0
ERR029385	SAMEA800239	1	1	0	0	1	0
ERR029387	SAMEA800237	1	1	1	0	0	0
ERR029389	SAMEA800235	1	1	1	0	0	0
ERR029391	SAMEA800244	1	1	1	0	0	0
ERR029392	SAMEA800298	1	1	1	0	0	0
ERR029458	SAMEA800274	1	0	0	0	1	0
ERR029459	SAMEA800275	1	0	0	0	1	0
ERR029460	SAMEA800257	1	0	0	0	1	0
ERR029462	SAMEA800255	1	0	0	0	1	0
ERR029463	SAMEA800254	1	1	0	0	0	0
ERR029464	SAMEA800253	1	0	0	0	0	0
ERR029465	SAMEA800252	1	0	0	0	1	0
ERR029469	SAMEA800276	1	0	0	0	0	0
ERR029471	SAMEA800288	1	0	0	0	1	0
ERR029472	SAMEA800277	0	0	0	0	0	0
ERR029475	SAMEA800291	1	1	0	0	0	0
ERR029477	SAMEA800281	1	0	1	0	1	1
ERR029478	SAMEA800282	1	0	0	0	1	0
ERR030148	SAMEA800179	1	1	1	0	0	0
ERR030152	SAMEA800304	1	1	0	0	0	0
ERR030154	SAMEA800296	1	1	1	0	1	0
ERR030155	SAMEA800297	1	0	0	0	1	0
ERR030157	SAMEA800177	1	0	1	0	1	1
ERR030160	SAMEA800214	1	1	1	0	0	0
ERR030161	SAMEA800217	1	1	1	0	0	0
ERR030166	SAMEA800183	1	1	1	0	0	0
ERR030167	SAMEA800186	1	1	1	0	0	0
ERR030173	SAMEA800382	1	0	0	0	1	0
ERR030180	SAMEA800377	1	1	1	0	0	0
ERR030181	SAMEA800384	1	1	1	0	0	0
ERR030182	SAMEA800383	1	0	1	0	1	1
ERR030189	SAMEA800203	1	0	0	0	1	0
ERR030190	SAMEA800204	1	0	0	0	1	0
ERR030191	SAMEA800205	1	0	0	0	0	0
ERR030192	SAMEA800206	1	0	0	0	1	0
ERR030195	SAMEA800201	1	0	0	0	0	0
ERR030196	SAMEA800202	1	0	0	0	1	0
ERR030199	SAMEA800325	1	0	0	0	1	0
ERR030200	SAMEA800360	1	0	0	0	1	0
ERR030201	SAMEA800357	1	0	0	0	1	0
ERR030202	SAMEA800333	1	0	0	0	1	0
ERR030204	SAMEA800331	1	0	0	0	1	0
ERR030205	SAMEA800329	1	0	0	0	1	0
ERR030208	SAMEA800359	1	1	1	0	0	0
ERR030212	SAMEA800259	1	0	0	0	1	0
ERR030214	SAMEA800355	1	0	0	0	0	0
ERR030215	SAMEA800356	1	0	0	0	1	1
ERR030217	SAMEA800354	1	0	0	0	1	0
ERR030219	SAMEA800352	1	0	0	0	0	0
ERR030223	SAMEA800283	1	0	0	0	1	0
ERR030225	SAMEA800270	1	0	0	0	0	0
ERR030226	SAMEA800284	1	1	1	0	0	0
ERR030227	SAMEA800268	1	0	1	0	1	1
ERR030228	SAMEA800285	1	0	0	0	1	1
ERR030230	SAMEA800267	1	0	0	0	1	0
ERR030235	SAMEA800269	1	0	0	0	0	0
ERR030238	SAMEA800264	1	0	0	0	1	0
ERR030240	SAMEA800336	1	0	1	0	1	0
ERR030241	SAMEA800250	1	0	0	0	1	0
ERR030242	SAMEA800251	1	0	0	0	1	0
ERR030243	SAMEA800248	1	0	0	0	1	0
ERR030245	SAMEA800249	1	0	0	0	1	0
ERR030248	SAMEA800227	1	1	1	0	0	0
ERR030250	SAMEA800320	1	1	1	0	1	0
ERR030254	SAMEA800223	0	0	0	0	0	0
ERR030257	SAMEA800225	1	1	0	0	0	0
ERR030259	SAMEA800230	1	0	0	0	1	0
ERR030260	SAMEA800196	1	0	0	0	1	0
ERR030261	SAMEA800232	1	0	0	0	1	0
ERR030266	SAMEA800234	1	0	0	0	1	0
ERR030267	SAMEA800294	1	1	1	0	0	0
ERR030269	SAMEA800195	1	0	0	0	1	0
ERR030271	SAMEA800376	1	1	1	0	0	0
ERR030272	SAMEA800316	1	0	0	0	1	0
ERR030274	SAMEA800375	1	1	1	0	0	0
ERR030276	SAMEA800293	1	0	0	0	1	0
ERR030280	SAMEA800370	1	0	0	0	1	0
ERR030281	SAMEA800369	1	0	0	0	1	0
ERR031666	SAMEA800345	1	0	0	0	1	0
ERR031667	SAMEA800338	1	0	0	0	1	0
ERR031672	SAMEA800339	1	1	1	0	0	0
ERR033239	SAMEA698513	1	1	0	0	0	0
ERR033245	SAMEA698592	1	1	0	0	0	0
ERR033246	SAMEA698630	1	0	0	0	0	0
ERR033247	SAMEA698590	1	0	0	0	0	0
ERR033291	SAMEA698299	0	0	0	0	0	0
ERR033293	SAMEA698300	0	1	0	0	0	0
ERR033295	SAMEA698697	0	1	0	0	0	0
ERR033296	SAMEA698692	1	1	0	0	0	0
ERR033297	SAMEA698694	1	1	1	0	0	0
ERR033299	SAMEA698690	1	1	0	0	0	1
ERR033300	SAMEA698685	1	0	0	0	0	0
ERR033301	SAMEA698687	0	1	0	0	0	0
ERR033304	SAMEA698368	0	1	1	0	0	0
ERR033309	SAMEA698366	1	1	0	0	0	0
ERR033310	SAMEA698365	1	0	1	0	0	0
ERR033315	SAMEA698509	1	0	0	0	0	0
ERR033331	SAMEA698456	0	1	0	0	0	0
ERR033332	SAMEA698463	1	1	0	0	0	0
ERR033336	SAMEA698255	1	1	0	0	0	0
ERR033337	SAMEA698455	0	1	0	0	0	0
ERR033338	SAMEA698454	0	0	0	0	0	0
ERR033340	SAMEA698458	0	0	0	0	0	0
ERR033347	SAMEA698460	1	1	0	0	0	0
ERR033353	SAMEA698487	0	0	0	0	0	0
ERR033356	SAMEA698617	1	1	0	0	0	0
ERR033358	SAMEA698616	0	1	0	0	0	0
ERR033359	SAMEA698544	1	1	0	0	0	0
ERR033360	SAMEA698543	1	0	0	0	0	0
ERR033361	SAMEA698542	0	0	1	0	1	0
ERR033370	SAMEA698412	0	1	0	0	0	0
ERR033371	SAMEA698546	0	0	0	0	0	0
ERR033373	SAMEA698404	0	0	0	0	0	0
ERR033376	SAMEA698407	0	1	0	0	0	0
ERR033389	SAMEA698292	0	1	0	0	0	0
ERR033390	SAMEA698291	0	1	0	0	0	0
ERR033408	SAMEA698259	1	1	0	0	0	0
ERR033409	SAMEA698257	1	1	0	0	0	0
ERR033424	SAMEA698168	0	0	0	0	0	0
ERR033426	SAMEA698330	0	1	0	0	0	0
ERR033448	SAMEA698467	1	1	0	0	0	0
ERR033454	SAMEA698392	0	1	0	0	0	0
ERR033456	SAMEA698394	1	0	0	0	0	0
ERR033463	SAMEA698249	0	1	0	0	0	0
ERR033464	SAMEA698250	0	1	0	0	0	0
ERR033465	SAMEA698247	1	1	0	0	0	0
ERR033469	SAMEA698243	0	0	0	0	0	0
ERR033471	SAMEA698241	1	0	0	0	1	0
ERR033475	SAMEA698287	1	1	1	0	0	0
ERR033477	SAMEA698442	1	1	1	0	0	0
ERR033478	SAMEA698281	1	1	0	0	0	0
ERR033480	SAMEA698285	0	0	0	0	0	0
ERR033482	SAMEA698283	1	0	0	0	0	0
ERR033487	SAMEA698441	0	1	0	0	0	0
ERR033488	SAMEA698571	1	1	1	0	0	0
ERR033491	SAMEA698574	1	1	0	0	0	0
ERR033511	SAMEA698583	1	1	1	0	0	0
ERR033514	SAMEA698446	1	1	1	0	0	0
ERR033516	SAMEA698448	0	1	0	0	0	0
ERR033517	SAMEA698449	0	1	0	0	0	0
ERR033518	SAMEA698450	1	1	1	0	0	0
ERR033524	SAMEA698530	1	1	1	0	0	1
ERR033525	SAMEA698515	1	1	0	0	0	0
ERR033527	SAMEA698363	1	1	0	0	0	0
ERR033529	SAMEA698185	1	0	0	0	0	0
ERR033534	SAMEA698526	0	1	1	0	0	0
ERR033541	SAMEA698729	0	1	0	0	0	0
ERR033544	SAMEA698667	1	1	0	0	0	0
ERR033545	SAMEA698665	0	1	1	0	0	0
ERR033547	SAMEA698679	0	1	0	0	0	0
ERR033550	SAMEA698211	0	0	0	0	0	0
ERR033551	SAMEA698204	1	0	0	0	0	0
ERR033556	SAMEA698579	0	0	0	0	0	0
ERR033557	SAMEA698401	0	1	0	0	0	0
ERR033571	SAMEA698268	0	1	0	0	0	0
ERR033572	SAMEA698416	0	0	0	0	0	0
ERR033573	SAMEA698415	0	1	0	0	0	0
ERR033579	SAMEA698189	0	1	0	0	0	0
ERR033580	SAMEA698188	0	1	0	0	0	0
ERR033581	SAMEA698187	0	0	0	0	0	0
ERR033583	SAMEA698193	0	1	0	0	0	0
ERR033584	SAMEA698192	0	1	0	0	0	0
ERR033593	SAMEA698560	0	1	0	0	0	0
ERR033596	SAMEA698557	1	1	0	0	0	0
ERR033635	SAMEA698172	0	0	0	0	0	0
ERR033636	SAMEA698173	1	1	0	0	0	0
ERR033637	SAMEA698166	0	1	0	0	0	0
ERR033644	SAMEA698197	0	1	0	0	0	0
ERR033645	SAMEA698196	1	1	0	0	0	0
ERR033652	SAMEA698575	0	1	0	0	0	0
ERR033693	SAMEA698719	0	0	0	0	0	0
ERR033694	SAMEA698722	0	0	1	0	0	0
ERR033697	SAMEA698313	0	1	0	0	0	0
ERR033699	SAMEA698315	0	0	0	0	0	0
ERR033700	SAMEA698318	1	1	0	0	0	0
ERR033702	SAMEA698730	0	0	0	0	0	0
ERR038660	SAMEA698468	0	1	0	0	0	0
ERR038661	SAMEA698469	1	1	0	0	0	0
ERR038662	SAMEA698470	0	0	0	0	0	0
ERR038663	SAMEA698471	0	0	0	0	0	0
ERR038664	SAMEA698598	0	1	0	0	0	0
ERR038665	SAMEA698597	0	0	0	0	0	0
ERR038669	SAMEA698474	0	1	0	0	0	0
ERR038671	SAMEA698504	0	0	0	0	0	0
ERR038673	SAMEA698500	0	0	1	0	0	0
ERR038675	SAMEA698502	0	1	0	0	0	0
ERR038678	SAMEA698497	1	1	0	0	0	0
ERR038682	SAMEA698361	0	1	0	0	0	0
ERR038691	SAMEA698359	0	1	0	0	1	0
ERR039389	SAMEA698279	0	1	0	0	0	0
ERR039393	SAMEA698657	0	1	0	0	0	0
ERR044563	SAMEA1030187	1	1	1	0	0	0
ERR044564	SAMEA1030181	1	1	1	0	0	0
ERR044565	SAMEA1030330	1	1	1	0	0	0
ERR044566	SAMEA1030313	1	1	0	0	0	0
ERR044569	SAMEA1030252	1	1	1	0	0	0
ERR044572	SAMEA1030227	1	1	1	0	0	0
ERR044573	SAMEA1030245	1	1	1	0	0	0
ERR044576	SAMEA1030176	1	1	1	0	0	0
ERR044578	SAMEA1030146	1	1	1	0	0	0
ERR044579	SAMEA1030331	1	1	1	0	0	0
ERR044582	SAMEA1030309	1	1	1	0	0	0
ERR044585	SAMEA1030207	1	1	1	0	0	0
ERR044586	SAMEA1030192	1	1	0	0	0	0
ERR044587	SAMEA1030267	1	1	1	0	0	0
ERR044588	SAMEA1030282	1	1	0	0	0	0
ERR044590	SAMEA1030255	1	1	0	0	0	0
ERR044592	SAMEA1030323	1	1	1	0	0	0
ERR044593	SAMEA1030338	1	1	0	0	0	0
ERR044594	SAMEA1030292	1	1	1	0	0	0
ERR044596	SAMEA1030141	1	1	0	0	0	0
ERR044597	SAMEA1030182	1	1	0	0	0	0
ERR044598	SAMEA1030169	1	1	0	0	0	0
ERR044601	SAMEA1030240	1	1	1	0	0	0
ERR044602	SAMEA1030237	1	1	0	0	0	0
ERR045052	SAMEA1030316	1	1	0	0	0	0
ERR045056	SAMEA1030150	1	1	0	0	0	0
ERR045059	SAMEA1030188	1	1	0	0	0	0
ERR045063	SAMEA1030281	0	1	0	0	0	0
ERR045064	SAMEA1030251	0	0	0	0	0	0
ERR045067	SAMEA1030317	1	1	0	0	0	0
ERR045069	SAMEA1030202	1	1	0	0	0	0
ERR045070	SAMEA1030213	1	1	0	0	0	0
ERR045071	SAMEA1030228	1	1	1	0	0	0
ERR045073	SAMEA1030234	1	1	0	0	0	0
ERR045843	SAMEA1028326	0	0	0	0	0	0
ERR053009	SAMEA1021981	1	0	0	0	0	0
ERR053012	SAMEA1022020	1	0	0	0	1	0
ERR053016	SAMEA1021856	1	0	0	0	1	0
ERR053018	SAMEA1021900	1	0	0	0	1	0
ERR053019	SAMEA1021881	1	0	0	0	1	0
ERR053021	SAMEA1021999	1	0	0	0	1	0
ERR053032	SAMEA1021849	1	0	0	0	1	0
ERR053034	SAMEA1021821	1	0	0	0	1	0
ERR053037	SAMEA1021970	1	0	0	0	1	0
ERR053039	SAMEA1022005	1	0	0	0	1	0
ERR053040	SAMEA1021933	1	0	0	0	1	0
ERR053046	SAMEA1021915	1	0	0	0	1	0
ERR085402	SAMEA1094535	1	1	1	0	0	0
ERR085403	SAMEA1094532	1	1	1	0	0	0
ERR085404	SAMEA1094534	1	1	1	0	0	0
ERR085406	SAMEA1094541	1	1	1	0	0	0
ERR085407	SAMEA1094536	1	1	1	0	0	0
ERR085408	SAMEA1094544	1	1	1	0	0	0
ERR085409	SAMEA1094525	1	1	1	0	0	0
ERR085413	SAMEA1094545	1	1	1	0	0	0
ERR085415	SAMEA1094529	1	1	1	0	0	0
ERR085416	SAMEA1094526	1	1	1	0	0	0
ERR085417	SAMEA1094542	1	1	1	0	0	0
ERR1069823	SAMEA3448970	0	0	0	0	1	0
ERR1069824	SAMEA3448971	0	1	0	0	1	0
ERR1069825	SAMEA3448972	0	1	0	0	0	0
ERR1069826	SAMEA3448973	0	1	0	0	1	0
ERR1069827	SAMEA3448974	0	0	0	0	0	0
ERR1069830	SAMEA3448977	0	1	0	0	0	0
ERR1069831	SAMEA3448978	0	1	1	0	1	0
ERR1069832	SAMEA3448979	0	1	0	0	1	0
ERR1069833	SAMEA3448980	0	1	0	0	1	0
ERR1069834	SAMEA3448981	0	1	0	0	1	0
ERR1069839	SAMEA3448986	0	1	0	0	1	0
ERR1069842	SAMEA3448989	0	1	0	0	0	0
ERR1069845	SAMEA3448992	0	1	0	0	1	0
ERR1069847	SAMEA3448994	0	1	0	0	1	0
ERR1069848	SAMEA3448995	0	1	0	0	1	0
ERR1069850	SAMEA3448997	0	1	0	0	1	0
ERR1069852	SAMEA3448999	0	1	0	0	1	0
ERR1069854	SAMEA3449001	0	1	0	0	1	0
ERR1069855	SAMEA3449002	0	1	0	0	1	0
ERR1069857	SAMEA3449004	0	1	0	0	0	0
ERR1069858	SAMEA3449005	0	1	0	0	0	0
ERR1069860	SAMEA3449007	0	1	0	0	1	0
ERR1069862	SAMEA3449009	0	1	0	0	0	0
ERR1069863	SAMEA3449010	0	1	0	0	1	0
ERR1069864	SAMEA3449011	0	1	0	0	1	0
ERR1069867	SAMEA3449014	0	1	0	0	1	0
ERR1069870	SAMEA3449017	0	1	0	0	0	0
ERR1069872	SAMEA3449019	0	1	0	0	0	0
ERR1069873	SAMEA3449020	0	1	0	0	1	0
ERR1069875	SAMEA3449022	0	0	0	0	0	0
ERR1069877	SAMEA3449024	0	1	0	0	1	0
ERR1069878	SAMEA3449025	0	1	0	0	1	0
ERR1069880	SAMEA3449027	0	1	0	0	1	0
ERR1069886	SAMEA3449033	0	1	0	0	1	0
ERR1069887	SAMEA3449034	0	1	0	0	1	0
ERR1069889	SAMEA3449036	0	1	0	0	0	0
ERR1069891	SAMEA3449038	0	1	0	0	1	0
ERR1069895	SAMEA3449042	0	1	0	0	0	0
ERR1069896	SAMEA3449043	0	1	0	0	1	0
ERR1069900	SAMEA3449047	0	1	0	0	1	0
ERR1069902	SAMEA3449049	0	1	0	0	1	0
ERR1069903	SAMEA3449050	0	1	0	0	1	0
ERR1069904	SAMEA3449051	0	0	0	0	0	0
ERR1069906	SAMEA3449053	0	1	0	0	1	0
ERR1069907	SAMEA3449054	0	1	1	0	1	0
ERR1069908	SAMEA3449055	0	0	0	0	0	0
ERR1069909	SAMEA3449056	0	1	0	0	1	0
ERR1069910	SAMEA3448833	0	1	0	0	1	0
ERR1069916	SAMEA3448839	0	1	0	0	1	0
ERR1069917	SAMEA3448840	0	1	0	0	1	0
ERR1069919	SAMEA3448842	0	1	0	0	1	0
ERR1069921	SAMEA3448844	0	0	0	0	0	0
ERR1069922	SAMEA3448845	0	1	0	0	1	0
ERR1069926	SAMEA3448849	0	1	0	0	0	0
ERR1069927	SAMEA3448850	0	1	0	0	0	0
ERR1069930	SAMEA3448853	0	1	0	0	0	0
ERR1069931	SAMEA3448854	0	1	0	0	0	0
ERR1069933	SAMEA3448856	0	1	0	0	1	0
ERR1069934	SAMEA3448857	0	1	0	0	0	0
ERR1069935	SAMEA3448858	0	1	0	0	1	0
ERR1069938	SAMEA3448861	0	1	0	0	1	0
ERR1069941	SAMEA3448864	0	1	0	0	1	0
ERR1069943	SAMEA3448866	0	1	0	0	1	0
ERR1069945	SAMEA3448868	0	0	0	0	0	0
ERR1069946	SAMEA3448869	0	1	0	0	0	0
ERR1069948	SAMEA3448871	0	1	0	0	1	0
ERR1069949	SAMEA3448872	0	1	0	0	0	0
ERR1069951	SAMEA3448874	0	1	0	0	0	0
ERR1069952	SAMEA3448875	0	1	1	0	1	0
ERR1069956	SAMEA3448879	0	1	0	0	0	0
ERR1069959	SAMEA3449396	0	1	0	0	1	0
ERR1069966	SAMEA3449403	0	0	0	0	1	0
ERR1069967	SAMEA3449404	0	0	0	0	1	0
ERR1069969	SAMEA3448882	0	0	0	0	1	0
ERR1069972	SAMEA3448885	0	1	0	0	1	0
ERR1069973	SAMEA3448886	0	1	0	0	1	0
ERR1069975	SAMEA3448888	0	1	0	0	1	0
ERR1069976	SAMEA3448889	0	1	0	0	1	0
ERR1069978	SAMEA3448891	0	1	0	0	0	0
ERR1069980	SAMEA3448893	0	1	0	0	1	0
ERR1069981	SAMEA3448894	0	0	0	0	0	0
ERR1069982	SAMEA3448895	0	1	0	0	1	0
ERR1069984	SAMEA3448897	0	1	0	0	1	0
ERR1069992	SAMEA3448905	0	0	0	0	1	0
ERR1069993	SAMEA3448906	0	1	0	0	1	0
ERR1069995	SAMEA3448908	0	0	0	0	0	0
ERR1069999	SAMEA3448912	0	1	0	0	1	0
ERR1070001	SAMEA3448914	0	1	0	0	1	0
ERR1070002	SAMEA3448915	0	0	0	0	1	0
ERR1070005	SAMEA3448918	0	0	0	0	0	0
ERR1070007	SAMEA3448920	0	1	0	0	1	0
ERR1070008	SAMEA3448921	0	1	0	0	0	0
ERR1070010	SAMEA3448923	0	0	0	0	1	0
ERR1070011	SAMEA3448924	0	1	0	0	1	0
ERR1070012	SAMEA3448925	0	1	0	0	0	0
ERR1070015	SAMEA3448928	0	0	0	0	1	0
ERR1070016	SAMEA3448929	0	1	0	0	0	0
ERR1070017	SAMEA3448930	0	0	0	0	1	0
ERR1070018	SAMEA3448931	0	0	0	0	0	0
ERR1070020	SAMEA3448933	0	1	0	0	0	0
ERR1070025	SAMEA3448938	0	0	0	0	0	0
ERR1070026	SAMEA3448939	0	1	0	0	0	0
ERR1070027	SAMEA3448940	0	0	0	0	1	0
ERR1070029	SAMEA3448942	0	0	0	0	0	0
ERR1070035	SAMEA3448948	1	0	0	0	1	1
ERR1070036	SAMEA3448949	0	1	0	0	0	0
ERR1070037	SAMEA3448950	0	1	0	0	1	0
ERR1070039	SAMEA3448952	0	1	0	0	1	0
ERR1070041	SAMEA3448954	0	0	0	0	0	0
ERR1070042	SAMEA3448955	1	0	0	0	1	0
ERR1070044	SAMEA3448957	0	1	0	0	1	0
ERR1070047	SAMEA3448960	0	1	0	0	0	0
ERR1070049	SAMEA3448962	0	1	0	0	0	0
ERR1070052	SAMEA3448965	1	0	0	0	0	0
ERR1070053	SAMEA3448966	0	1	0	0	1	0
ERR1070054	SAMEA3448967	0	1	0	0	0	0
ERR1070055	SAMEA3448968	0	1	0	0	1	0
ERR1070059	SAMEA3449059	0	1	0	0	0	0
ERR1070061	SAMEA3449061	0	0	1	0	0	0
ERR1070062	SAMEA3449062	0	1	1	0	1	0
ERR1070066	SAMEA3449066	0	1	0	0	1	0
ERR1070068	SAMEA3449068	0	1	0	0	0	0
ERR1070103	SAMEA3449103	0	1	0	0	0	0
ERR1070104	SAMEA3449104	0	0	0	0	1	0
ERR1070105	SAMEA3449105	0	0	0	0	0	0
ERR1070143	SAMEA3449143	0	1	1	0	1	0
ERR1197981	SAMEA3719314	0	0	0	0	0	0
ERR124429	SAMEA1464023	1	1	1	0	0	0
ERR124430	SAMEA1464014	1	1	1	0	0	0
ERR124431	SAMEA1464000	1	1	1	0	0	0
ERR124432	SAMEA1464017	1	1	1	0	0	0
ERR128709	SAMEA1464011	1	1	0	0	0	0
ERR128711	SAMEA1464033	1	1	0	0	0	0
ERR128713	SAMEA1464006	1	1	0	0	0	0
ERR128715	SAMEA1464028	1	1	0	0	0	0
ERR128716	SAMEA1464016	1	1	0	0	0	0
ERR128720	SAMEA1464027	1	1	1	0	0	0
ERR131810	SAMEA1464029	1	1	0	0	0	0
ERR131811	SAMEA1464034	1	1	0	0	0	0
ERR131814	SAMEA1464024	1	1	0	0	0	0
ERR134620	SAMEA1324760	1	1	0	0	0	0
ERR134634	SAMEA1324679	1	1	0	0	0	1
ERR134676	SAMEA1324628	1	1	0	0	0	0
ERR134712	SAMEA1324555	0	0	0	0	0	0
ERR134744	SAMEA1324746	1	1	0	0	0	0
ERR134806	SAMEA1324572	1	1	0	0	0	0
ERR134818	SAMEA1324666	1	1	0	0	0	0
ERR134823	SAMEA1324752	1	1	0	0	0	0
ERR134848	SAMEA1324700	1	1	0	0	0	0
ERR156333	SAMEA1463394	1	1	1	0	0	0
ERR156340	SAMEA1463361	1	1	0	0	0	0
ERR171845	SAMEA1522623	1	0	0	0	1	0
ERR190210	SAMEA1565121	1	1	0	0	0	0
ERR204139	SAMEA1572484	1	1	0	0	0	0
ERR204155	SAMEA1572450	1	1	1	0	0	0
ERR204180	SAMEA1572482	1	0	0	0	0	0
ERR204182	SAMEA1572433	1	1	1	0	0	0
ERR204205	SAMEA1572354	1	0	0	0	1	0
ERR204229	SAMEA1572272	1	1	0	0	1	0
ERR211938	SAMEA1568590	1	1	0	0	0	0
ERR211950	SAMEA1568618	1	0	0	0	0	0
ERR211953	SAMEA1568663	1	1	0	0	0	0
ERR211954	SAMEA1568655	1	1	1	0	1	0
ERR211968	SAMEA1568639	1	1	1	0	0	0
ERR212780	SAMEA1572255	1	1	0	0	0	0
ERR212783	SAMEA1572500	1	1	1	0	0	0
ERR212793	SAMEA1572216	1	1	0	0	0	0
ERR212816	SAMEA1572437	1	1	1	0	0	0
ERR212833	SAMEA1572388	1	0	0	0	0	0
ERR212847	SAMEA1572359	1	0	1	0	1	0
ERR212879	SAMEA1572552	1	1	0	0	0	0
ERR212899	SAMEA1572481	1	1	1	0	1	0
