sample_id	Species	ST
ERR1761478	Klebsiella pneumoniae	ST512
ERR1795082	Klebsiella pneumoniae	ST258
ERR1796052	Klebsiella quasipneumoniae	ST3019
ERR1830485	Klebsiella pneumoniae	ST834
ERR1852874	Klebsiella quasipneumoniae	ST571
ERR1852995	Klebsiella pneumoniae	ST273
ERR1853021	Klebsiella pneumoniae	ST5912
ERR1911071	Klebsiella pneumoniae	ST258
ERR2303411	Klebsiella pneumoniae	ST409
ERR2303502	Klebsiella pneumoniae	ST37
ERR2303570	Klebsiella quasipneumoniae	ST334
ERR2321486	Klebsiella pneumoniae	ST37
ERR2397525	Klebsiella pneumoniae	ST17
ERR2397526	Klebsiella pneumoniae	ST23
ERR2497255	Klebsiella pneumoniae	ST340
ERR2523078	Klebsiella pneumoniae	ST147-1LV
ERR2523285	Klebsiella pneumoniae	ST258
ERR2528625	Klebsiella pneumoniae	ST383
ERR2681447	Klebsiella pneumoniae	ST251
ERR2693332	Klebsiella quasipneumoniae	ST1535
ERR2693390	Klebsiella pneumoniae	ST42
ERR2854247	Klebsiella pneumoniae	ST1787
ERR298791	Klebsiella pneumoniae	ST16
ERR3144600	Klebsiella pneumoniae	ST391
ERR3144763	Klebsiella pneumoniae	ST11
ERR314556	Klebsiella pneumoniae	ST25
ERR315105	Klebsiella quasipneumoniae	ST2143
ERR315106	Klebsiella variicola	ST2821
ERR3164646	Klebsiella pneumoniae	ST307
ERR3164710	Klebsiella pneumoniae	ST512
ERR3164791	Klebsiella pneumoniae	ST78-1LV
ERR319543	Klebsiella pneumoniae	ST323
ERR3371901	Klebsiella pneumoniae	ST258
ERR3371943	Klebsiella pneumoniae	ST152
ERR3371974	Klebsiella pneumoniae	ST258
ERR3372112	Klebsiella pneumoniae	ST258
ERR3372240	Klebsiella pneumoniae	ST258
ERR3381740	Klebsiella pneumoniae	ST258
ERR3416011	Klebsiella pneumoniae	ST2177
ERR3416213	Klebsiella pneumoniae	ST2691
ERR3424723	Klebsiella pneumoniae	ST86
ERR3424786	Klebsiella pneumoniae	ST502
ERR3437057	Klebsiella pneumoniae	ST307
ERR3437060	Klebsiella pneumoniae	ST607
ERR3449012	Klebsiella pneumoniae	ST1564
ERR3449036	Klebsiella pneumoniae	ST661
ERR3449120	Klebsiella pneumoniae	ST314
ERR3449444	Klebsiella pneumoniae	ST1486
ERR3479948	Klebsiella pneumoniae	ST512
ERR3480083	Klebsiella pneumoniae	ST3068
ERR3480248	Klebsiella variicola	ST7073
ERR3480359	Klebsiella pneumoniae	ST17
ERR3480408	Klebsiella pneumoniae	ST307
ERR3480631	Klebsiella pneumoniae	ST3068
ERR349777	Klebsiella pneumoniae	ST147
ERR349805	Klebsiella pneumoniae	ST340
ERR3499855	Klebsiella pneumoniae	ST465
ERR3499896	Klebsiella pneumoniae	ST42
ERR3499928	Klebsiella pneumoniae	ST322
ERR3518854	Klebsiella pneumoniae	ST11
ERR3567413	Klebsiella pneumoniae	ST15
ERR3567589	Klebsiella pneumoniae	ST11
ERR3585227	Klebsiella pneumoniae	ST15
ERR3642079	Klebsiella pneumoniae	ST20
ERR3642342	Klebsiella quasipneumoniae	ST4407-3LV
ERR3642366	Klebsiella pneumoniae	ST15
ERR3642367	Klebsiella pneumoniae	ST15
ERR3712811	Klebsiella pneumoniae	ST16
ERR3712915	Klebsiella pneumoniae	ST101
ERR3713067	Klebsiella pneumoniae	ST3392
ERR3835442	Klebsiella pneumoniae	ST101
ERR3891107	Klebsiella pneumoniae	ST101
ERR3891155	Klebsiella pneumoniae	ST2096
ERR3904499	Klebsiella pneumoniae	ST1315
ERR3931606	Klebsiella pneumoniae	ST253
ERR3932243	Klebsiella quasipneumoniae	ST6982
ERR3932257	Klebsiella pneumoniae	ST13
ERR4008028	Klebsiella pneumoniae	ST17
ERR4008037	Klebsiella pneumoniae	ST17
ERR4023976	Klebsiella pneumoniae	ST656
ERR4045423	Klebsiella pneumoniae	ST16
ERR4045503	Klebsiella pneumoniae	ST15-1LV
ERR4045725	Klebsiella pneumoniae	ST16
ERR4046176	Klebsiella pneumoniae	ST15
ERR4046279	Klebsiella pneumoniae	ST656
ERR4046379	Klebsiella pneumoniae	ST15
ERR4095966	Klebsiella pneumoniae	ST29
ERR4095997	Klebsiella pneumoniae	ST253
ERR4139338	Klebsiella pneumoniae	ST307
ERR4139361	Klebsiella pneumoniae	ST15
ERR4198093	Klebsiella pneumoniae	ST3567
ERR4228922	Klebsiella pneumoniae	ST321
ERR4280173	Klebsiella pneumoniae	ST54
ERR4280217	Klebsiella pneumoniae	ST1026
ERR4367584	Klebsiella pneumoniae	ST4804
ERR4367603	Klebsiella pneumoniae	ST307
ERR4367650	Klebsiella pneumoniae	ST17
ERR4374691	Klebsiella pneumoniae	ST611
ERR4392818	Klebsiella pneumoniae	ST383
ERR4463206	Klebsiella pneumoniae	ST37
ERR4465103	Klebsiella pneumoniae	ST307
ERR4504313	Klebsiella pneumoniae	ST1552
ERR4635404	Klebsiella quasipneumoniae	ST283
ERR474480	Klebsiella pneumoniae	ST36
ERR474543	Klebsiella pneumoniae	ST340
ERR4783001	Klebsiella pneumoniae	ST5243
ERR4783014	Klebsiella pneumoniae	ST185
ERR4783270	Klebsiella pneumoniae	ST502
ERR4783347	Klebsiella pneumoniae	ST5241
ERR4783508	Klebsiella pneumoniae	ST15
ERR4784329	Klebsiella pneumoniae	ST147
ERR4784767	Klebsiella pneumoniae	ST469
ERR4791482	Klebsiella pneumoniae	ST2121
ERR4791519	Klebsiella pneumoniae	ST15
ERR4791531	Klebsiella pneumoniae	ST37
ERR4795517	Klebsiella pneumoniae	ST11
ERR4795578	Klebsiella pneumoniae	ST152
ERR4795668	Klebsiella pneumoniae	ST512
ERR4822782	Klebsiella pneumoniae	ST11
ERR4968636	Klebsiella quasipneumoniae	ST2010
ERR5037506	Klebsiella pneumoniae	ST1419
ERR5037641	Klebsiella pneumoniae	ST35
ERR5056276	Klebsiella variicola	ST3353
ERR5056417	Klebsiella pneumoniae	ST461
ERR5056568	Klebsiella pneumoniae	ST403
ERR5056673	Klebsiella variicola	ST641
ERR5060378	Klebsiella pneumoniae	ST16
ERR5104081	Klebsiella pneumoniae	ST1102
ERR5233931	Klebsiella quasipneumoniae	ST1584
ERR5530328	Klebsiella pneumoniae	ST13
ERR564139	Klebsiella pneumoniae	ST258
ERR564161	Klebsiella pneumoniae	ST15
ERR564165	Klebsiella pneumoniae	ST375
ERR5685251	Klebsiella quasipneumoniae	ST4511
ERR5751975	Klebsiella pneumoniae	ST231
ERR5752183	Klebsiella pneumoniae	ST2674
ERR5757360	Klebsiella pneumoniae	ST420
ERR6057982	Klebsiella pneumoniae	ST25
ERR6058063	Klebsiella quasipneumoniae	ST5013
ERR6058125	Klebsiella pneumoniae	ST35
ERR6293488	Klebsiella pneumoniae	ST26
ERR6293948	Klebsiella pneumoniae	ST290
ERR6294007	Klebsiella pneumoniae	ST25
ERR6294184	Klebsiella pneumoniae	ST4298
ERR6294202	Klebsiella pneumoniae	ST3702
ERR6350209	Klebsiella pneumoniae	ST307
ERR6350762	Klebsiella pneumoniae	ST101
ERR6350824	Klebsiella pneumoniae	ST2004-1LV
ERR6384945	Klebsiella pneumoniae	ST348
ERR6891100	Klebsiella pneumoniae	ST231
ERR6891207	Klebsiella pneumoniae	ST15
ERR6891220	Klebsiella pneumoniae	ST231
ERR6891225	Klebsiella pneumoniae	ST16-1LV
ERR6938494	Klebsiella pneumoniae	ST65
ERR6938526	Klebsiella pneumoniae	ST45
ERR6938877	Klebsiella pneumoniae	ST34
ERR6938903	Klebsiella pneumoniae	ST340
ERR6938918	Klebsiella pneumoniae	ST340
ERR713522	Klebsiella pneumoniae	ST23
ERR7224962	Klebsiella pneumoniae	ST17
ERR7225153	Klebsiella pneumoniae	ST515
ERR7225378	Klebsiella pneumoniae	ST147
ERR7225609	Klebsiella pneumoniae	ST45
ERR7225729	Klebsiella pneumoniae	ST86
ERR7225907	Klebsiella pneumoniae	ST39
ERR7226237	Klebsiella pneumoniae	ST307
ERR7226246	Klebsiella pneumoniae	ST70
ERR7226511	Klebsiella pneumoniae	ST11
ERR7226539	Klebsiella pneumoniae	ST147
ERR7226599	Klebsiella pneumoniae	ST6337
ERR7226786	Klebsiella pneumoniae	ST133
ERR7448907	Klebsiella pneumoniae	ST25
ERR7448976	Klebsiella quasipneumoniae	ST3388-2LV
ERR7449039	Klebsiella pneumoniae	ST252-2LV
ERR7449134	Klebsiella pneumoniae	ST464
ERR7449175	Klebsiella pneumoniae	ST39
ERR7449234	Klebsiella pneumoniae	ST6488
ERR7472232	Klebsiella pneumoniae	ST14
ERR7472344	Klebsiella pneumoniae	ST107
ERR7472410	Klebsiella pneumoniae	ST29
ERR7472446	Klebsiella pneumoniae	ST54
ERR7472621	Klebsiella pneumoniae	ST11
ERR7568144	Klebsiella pneumoniae	ST200
ERR7568163	Klebsiella quasipneumoniae	ST5717-2LV
ERR7569550	Klebsiella pneumoniae	ST392
ERR7569834	Klebsiella pneumoniae	ST485
ERR7598141	Klebsiella pneumoniae	ST113
ERR7672103	Klebsiella pneumoniae	ST14
ERR7734856	Klebsiella pneumoniae	ST383
ERR7734903	Klebsiella pneumoniae	ST525
ERR7735005	Klebsiella pneumoniae	ST258
ERR7735064	Klebsiella pneumoniae	ST15
ERR7735206	Klebsiella pneumoniae	ST15
ERR7735298	Klebsiella pneumoniae	ST307
ERR775490	Klebsiella pneumoniae	ST38
ERR775516	Klebsiella pneumoniae	ST25
ERR775643	Klebsiella pneumoniae	ST3805
ERR7813833	Klebsiella pneumoniae	ST307
ERR7850219	Klebsiella pneumoniae	ST395
ERR8084972	Klebsiella pneumoniae	ST268
ERR8574883	Klebsiella pneumoniae	ST17
ERR8604487	Klebsiella pneumoniae	ST4721
ERR8771254	Klebsiella quasipneumoniae	ST6191
ERR8771346	Klebsiella pneumoniae	ST37
ERR8771444	Klebsiella pneumoniae	ST45
ERR8771769	Klebsiella pneumoniae	ST321
ERR8771923	Klebsiella pneumoniae	ST11
ERR8772015	Klebsiella pneumoniae	ST16-1LV
ERR8772605	Klebsiella pneumoniae	ST15
ERR8772985	Klebsiella pneumoniae	ST788
ERR8773037	Klebsiella pneumoniae	ST512
ERR8773134	Klebsiella pneumoniae	ST11
ERR8773232	Klebsiella pneumoniae	ST101
ERR8773360	Klebsiella pneumoniae	ST101
ERR8774434	Klebsiella pneumoniae	ST870
ERR8774622	Klebsiella pneumoniae	ST16
ERR8774671	Klebsiella quasipneumoniae	ST713
ERR8774711	Klebsiella pneumoniae	ST16
ERR8774770	Klebsiella pneumoniae	ST307
ERR8774857	Klebsiella pneumoniae	ST307
ERR8774948	Klebsiella pneumoniae	ST16
ERR9035496	Klebsiella pneumoniae	ST753
ERR9035514	Klebsiella pneumoniae	ST45
ERR9035532	Klebsiella pneumoniae	ST29
ERR9035550	Klebsiella pneumoniae	ST280
ERR9364542	Klebsiella pneumoniae	ST307
ERR985161	Klebsiella pneumoniae	ST45
SRR10028410	Klebsiella pneumoniae	ST512
SRR10028416	Klebsiella variicola	ST3529-1LV
SRR10094548	Klebsiella pneumoniae	ST147
SRR10116624	Klebsiella pneumoniae	ST258
SRR10116819	Klebsiella pneumoniae	ST258
SRR10127104	Klebsiella pneumoniae	ST307
SRR10160935	Klebsiella pneumoniae	ST65
SRR10223881	Klebsiella pneumoniae	ST11
SRR10295029	Klebsiella pneumoniae	ST231
SRR10295070	Klebsiella pneumoniae	ST11
SRR10432625	Klebsiella pneumoniae	ST11
SRR10541797	Klebsiella pneumoniae	ST323
SRR10694507	Klebsiella pneumoniae	ST485
SRR10899221	Klebsiella pneumoniae	ST1228
SRR10905793	Klebsiella pneumoniae	ST5755
SRR10992124	Klebsiella pneumoniae	ST492
SRR11046323	Klebsiella pneumoniae	ST34
SRR11046671	Klebsiella pneumoniae	ST462
SRR11267887	Klebsiella pneumoniae	ST48
SRR11585103	Klebsiella pneumoniae	ST11
SRR11585166	Klebsiella pneumoniae	ST11
SRR11585201	Klebsiella pneumoniae	ST307
SRR11622550	Klebsiella pneumoniae	ST23
SRR11622573	Klebsiella pneumoniae	ST16
SRR11819400	Klebsiella pneumoniae	ST258
SRR11841824	Klebsiella quasipneumoniae	ST144
SRR11992859	Klebsiella pneumoniae	ST307
SRR11992948	Klebsiella pneumoniae	ST307
SRR12149862	Klebsiella pneumoniae	ST5014
SRR12233388	Klebsiella pneumoniae	ST592-1LV
SRR12233460	Klebsiella pneumoniae	ST15
SRR12508828	Klebsiella pneumoniae	ST678
SRR12509056	Klebsiella pneumoniae	ST258
SRR12509295	Klebsiella pneumoniae	ST258
SRR12509329	Klebsiella pneumoniae	ST258
SRR12509354	Klebsiella pneumoniae	ST258
SRR12509595	Klebsiella pneumoniae	ST258
SRR12518025	Klebsiella pneumoniae	ST147
SRR12569953	Klebsiella pneumoniae	ST11
SRR12823669	Klebsiella pneumoniae	ST48
SRR12956418	Klebsiella pneumoniae	ST258
SRR12956649	Klebsiella pneumoniae	ST13
SRR12956679	Klebsiella pneumoniae	ST258
SRR13088479	Klebsiella pneumoniae	ST16
SRR13254198	Klebsiella pneumoniae	ST23
SRR13338360	Klebsiella pneumoniae	ST512
SRR13356557	Klebsiella pneumoniae	ST22
SRR13803464	Klebsiella pneumoniae	ST15
SRR13873373	Klebsiella pneumoniae	ST70
SRR14348107	Klebsiella pneumoniae	ST147
SRR14402411	Klebsiella pneumoniae	ST45
SRR14402523	Klebsiella pneumoniae	ST258
SRR14402648	Klebsiella pneumoniae	ST147
SRR14402733	Klebsiella pneumoniae	ST13
SRR14402790	Klebsiella pneumoniae	ST147
SRR14436892	Klebsiella pneumoniae	ST45
SRR14449413	Klebsiella pneumoniae	ST15
SRR14449708	Klebsiella pneumoniae	ST11
SRR14449722	Klebsiella variicola	ST6949
SRR14449853	Klebsiella pneumoniae	ST258
SRR14449921	Klebsiella pneumoniae	ST11
SRR14450084	Klebsiella pneumoniae	ST11
SRR14450203	Klebsiella pneumoniae	ST11
SRR14450227	Klebsiella pneumoniae	ST11
SRR14450263	Klebsiella pneumoniae	ST258
SRR14532145	Klebsiella pneumoniae	ST37
SRR14532158	Klebsiella pneumoniae	ST258
SRR14673404	Klebsiella pneumoniae	ST45
SRR14673444	Klebsiella pneumoniae	ST2623
SRR14861762	Klebsiella pneumoniae	ST307
SRR14861783	Klebsiella pneumoniae	ST307
SRR15064941	Klebsiella pneumoniae	ST101
SRR1508864	Klebsiella pneumoniae	ST34
SRR15096628	Klebsiella pneumoniae	ST11
SRR15569607	Klebsiella variicola	ST3972
SRR1561271	Klebsiella pneumoniae	ST258
SRR1561351	Klebsiella pneumoniae	ST258
SRR15695555	Klebsiella pneumoniae	ST16
SRR15695762	Klebsiella pneumoniae	ST15
SRR15695766	Klebsiella pneumoniae	ST496
SRR15695828	Klebsiella pneumoniae	ST5606
SRR16315031	Klebsiella pneumoniae	ST395
SRR16761269	Klebsiella pneumoniae	ST258
SRR16962736	Klebsiella pneumoniae	ST11
SRR17095225	Klebsiella pneumoniae	ST7
SRR17179145	Klebsiella variicola	ST973-1LV
SRR17179159	Klebsiella variicola	ST973-1LV
SRR17273918	Klebsiella pneumoniae	ST48-1LV
SRR17302082	Klebsiella pneumoniae	ST11
SRR17302090	Klebsiella pneumoniae	ST11
SRR17302548	Klebsiella pneumoniae	ST12
SRR17302667	Klebsiella pneumoniae	ST104
SRR17302750	Klebsiella pneumoniae	ST14
SRR17302796	Klebsiella pneumoniae	ST11
SRR17303645	Klebsiella pneumoniae	ST437
SRR17303709	Klebsiella pneumoniae	ST719
SRR17308710	Klebsiella pneumoniae	ST101
SRR17308831	Klebsiella pneumoniae	ST11
SRR17308899	Klebsiella pneumoniae	ST34
SRR17431315	Klebsiella pneumoniae	ST45
SRR17644255	Klebsiella quasipneumoniae	ST5736
SRR17644415	Klebsiella quasipneumoniae	ST1584
SRR17830945	Klebsiella pneumoniae	ST20
SRR17883848	Klebsiella pneumoniae	ST1427
SRR17930996	Klebsiella pneumoniae	ST39
SRR17931000	Klebsiella pneumoniae	ST14
SRR18030982	Klebsiella pneumoniae	ST11
SRR18031305	Klebsiella pneumoniae	ST27
SRR18031400	Klebsiella variicola	ST641
SRR18031424	Klebsiella pneumoniae	ST252
SRR18175575	Klebsiella pneumoniae	ST34
SRR18207241	Klebsiella pneumoniae	ST35-1LV
SRR18208967	Klebsiella pneumoniae	ST461
SRR18212576	Klebsiella pneumoniae	ST4843
SRR18392458	Klebsiella pneumoniae	ST23
SRR18440450	Klebsiella pneumoniae	ST16
SRR18543899	Klebsiella pneumoniae	ST26
SRR18729528	Klebsiella pneumoniae	ST258
SRR18729641	Klebsiella pneumoniae	ST258
SRR18850301	Klebsiella pneumoniae	ST16
SRR18982284	Klebsiella pneumoniae	ST37
SRR19090190	Klebsiella variicola	ST3296
SRR19090226	Klebsiella pneumoniae	ST753
SRR19213030	Klebsiella pneumoniae	ST307
SRR19309896	Klebsiella pneumoniae	ST11
SRR19372445	Klebsiella pneumoniae	ST2410
SRR19441568	Klebsiella pneumoniae	ST20
SRR19442273	Klebsiella pneumoniae	ST45
SRR19561323	Klebsiella pneumoniae	ST1412
SRR19561786	Klebsiella pneumoniae	ST3393
SRR19743694	Klebsiella pneumoniae	ST502
SRR19743826	Klebsiella pneumoniae	ST340
SRR19743962	Klebsiella pneumoniae	ST16
SRR19743980	Klebsiella pneumoniae	ST16
SRR19880610	Klebsiella pneumoniae	ST512
SRR2033759	Klebsiella pneumoniae	ST113
SRR20340962	Klebsiella pneumoniae	ST258
SRR2070616	Klebsiella pneumoniae	ST11
SRR2098680	Klebsiella pneumoniae	ST268
SRR20994942	Klebsiella pneumoniae	ST258
SRR21078807	Klebsiella pneumoniae	ST512
SRR21595880	Klebsiella pneumoniae	ST258
SRR21812736	Klebsiella pneumoniae	ST512
SRR21822753	Klebsiella pneumoniae	ST147
SRR21884238	Klebsiella pneumoniae	ST258
SRR21884273	Klebsiella variicola	ST208-1LV
SRR22352318	Klebsiella pneumoniae	ST147
SRR2244252	Klebsiella pneumoniae	ST101
SRR22996254	Klebsiella pneumoniae	ST15
SRR23031782	Klebsiella pneumoniae	ST493
SRR23048665	Klebsiella pneumoniae	ST2441
SRR23456122	Klebsiella pneumoniae	ST147
SRR23946086	Klebsiella pneumoniae	ST14
SRR24035944	Klebsiella pneumoniae	ST307
SRR24466093	Klebsiella pneumoniae	ST261
SRR2915830	Klebsiella pneumoniae	ST258
SRR3051222	Klebsiella variicola	ST1378-1LV
SRR3305565	Klebsiella pneumoniae	ST2938
SRR3996238	Klebsiella pneumoniae	ST258
SRR4140109	Klebsiella quasipneumoniae	ST3910
SRR4198682	Klebsiella pneumoniae	ST512
SRR4198777	Klebsiella pneumoniae	ST512
SRR5093489	Klebsiella pneumoniae	ST48
SRR5093755	Klebsiella pneumoniae	ST258
SRR5385645	Klebsiella pneumoniae	ST307
SRR5385805	Klebsiella pneumoniae	ST348
SRR5385900	Klebsiella pneumoniae	ST307
SRR5386148	Klebsiella pneumoniae	ST307
SRR5386254	Klebsiella pneumoniae	ST307
SRR5386474	Klebsiella pneumoniae	ST307
SRR5386584	Klebsiella pneumoniae	ST307
SRR5386744	Klebsiella pneumoniae	ST258
SRR5386776	Klebsiella pneumoniae	ST5340
SRR5387001	Klebsiella pneumoniae	ST307
SRR5387028	Klebsiella pneumoniae	ST258
SRR5387185	Klebsiella pneumoniae	ST1440
SRR5387286	Klebsiella pneumoniae	ST716
SRR5387315	Klebsiella pneumoniae	ST307
SRR5387324	Klebsiella pneumoniae	ST307-1LV
SRR5387411	Klebsiella pneumoniae	ST307
SRR5666412	Klebsiella pneumoniae	ST258
SRR5666611	Klebsiella pneumoniae	ST11
SRR5877448	Klebsiella pneumoniae	ST234
SRR5877487	Klebsiella quasipneumoniae	ST414
SRR5893983	Klebsiella pneumoniae	ST14
SRR5931344	Klebsiella pneumoniae	ST258
SRR5931381	Klebsiella pneumoniae	ST258
SRR5931414	Klebsiella pneumoniae	ST258
SRR5931422	Klebsiella pneumoniae	ST258
SRR5943487	Klebsiella pneumoniae	ST2555
SRR5973304	Klebsiella pneumoniae	ST966
SRR6204367	Klebsiella pneumoniae	ST258
SRR6763992	Klebsiella pneumoniae	ST258
SRR6764147	Klebsiella pneumoniae	ST258
SRR6951522	Klebsiella pneumoniae	ST45
SRR6958851	Klebsiella pneumoniae	ST340
SRR6959176	Klebsiella pneumoniae	ST11
SRR7049940	Klebsiella pneumoniae	ST101
SRR7049954	Klebsiella pneumoniae	ST101
SRR7540282	Klebsiella pneumoniae	ST11
SRR7624361	Klebsiella pneumoniae	ST258
SRR7716646	Klebsiella pneumoniae	ST11
SRR8071928	Klebsiella pneumoniae	ST258
SRR8072007	Klebsiella pneumoniae	ST258
SRR8174929	Klebsiella pneumoniae	ST45
SRR8175009	Klebsiella pneumoniae	ST405
SRR8199657	Klebsiella pneumoniae	ST258
SRR8241384	Klebsiella pneumoniae	ST11
SRR8268491	Klebsiella pneumoniae	ST307
SRR8286508	Klebsiella pneumoniae	ST11
SRR8291867	Klebsiella pneumoniae	ST101
SRR8599776	Klebsiella pneumoniae	ST258
SRR8738399	Klebsiella pneumoniae	ST14
SRR8798058	Klebsiella pneumoniae	ST258
SRR8798061	Klebsiella pneumoniae	ST258
SRR8916348	Klebsiella pneumoniae	ST16
SRR8916527	Klebsiella pneumoniae	ST14
SRR8919602	Klebsiella pneumoniae	ST16
SRR9209171	Klebsiella pneumoniae	ST1165
SRR9217819	Klebsiella pneumoniae	ST48
SRR9217850	Klebsiella quasipneumoniae	ST1304
SRR9615939	Klebsiella pneumoniae	ST54
SRR9734679	Klebsiella pneumoniae	ST16
SRR9858642	Klebsiella pneumoniae	ST258-1LV
SRR9858724	Klebsiella pneumoniae	ST258
