sample_id	biosample	blaOXA-23	blaOXA-24-like	blaOXA-58-like
SRR10094377	SAMN10249089	1	0	0
SRR10094378	SAMN10248937	1	0	0
SRR10094379	SAMN10249177	1	0	0
SRR10094380	SAMN10249024	1	0	0
SRR10094381	SAMN10249068	1	0	0
SRR10094382	SAMN10249186	1	0	0
SRR10094383	SAMN10249163	1	0	0
SRR10094386	SAMN10248996	1	0	0
SRR10094397	SAMN10249217	1	0	0
SRR10094408	SAMN10249121	1	0	0
SRR10094409	SAMN10248989	1	0	0
SRR10094410	SAMN10248939	1	0	0
SRR10094411	SAMN10249029	1	0	0
SRR10094412	SAMN10249093	1	0	0
SRR10094413	SAMN10249057	1	0	0
SRR10094414	SAMN10249010	1	0	0
SRR10094415	SAMN10249149	0	0	0
SRR10094416	SAMN10248941	1	0	0
SRR10094417	SAMN10248957	0	0	0
SRR10094418	SAMN10249083	0	0	0
SRR10094419	SAMN10249147	0	0	0
SRR10094420	SAMN10248986	1	0	0
SRR10094421	SAMN10248990	1	0	0
SRR10094422	SAMN10249021	1	0	0
SRR10094423	SAMN10249060	1	0	0
SRR10094424	SAMN10249116	1	0	0
SRR10094425	SAMN10249046	1	0	0
SRR10094426	SAMN10249015	1	0	0
SRR10094427	SAMN10249074	1	0	0
SRR10094428	SAMN10249102	1	0	0
SRR10094429	SAMN10248992	1	0	0
SRR10094430	SAMN10249027	0	0	0
SRR10094431	SAMN10249064	1	0	0
SRR10094432	SAMN10249126	0	0	0
SRR10094433	SAMN10249214	1	0	0
SRR10094434	SAMN10249016	1	0	0
SRR10094435	SAMN10249052	1	0	0
SRR10094436	SAMN10249097	1	0	0
SRR10094437	SAMN10249114	1	0	0
SRR10094438	SAMN10248970	1	0	0
SRR10094439	SAMN10249162	1	0	0
SRR10094440	SAMN10249022	1	0	0
SRR10094451	SAMN10249204	1	0	0
SRR10094462	SAMN10249037	1	0	0
SRR10094473	SAMN10249085	1	0	0
SRR10094484	SAMN10249101	1	0	0
SRR10094495	SAMN10248964	1	0	0
SRR10094506	SAMN10249210	0	0	0
SRR10094517	SAMN10249004	1	0	0
SRR10094518	SAMN10249002	1	0	0
SRR10094529	SAMN10249072	1	0	0
SRR10094540	SAMN10249105	1	0	0
SRR10094551	SAMN10248953	1	0	0
SRR10094562	SAMN10249200	1	0	0
SRR10094573	SAMN10249066	1	0	0
SRR10094584	SAMN10249195	1	0	0
SRR10094595	SAMN10248975	1	0	0
SRR10094606	SAMN10249137	1	0	0
SRR10094617	SAMN10249181	1	0	0
SRR10094628	SAMN10249035	1	0	0
SRR10094629	SAMN10249086	1	0	0
SRR10094630	SAMN10249109	1	0	0
SRR10383457	SAMN13176256	0	0	0
SRR11049245	SAMN14072392	1	0	0
SRR11176973	SAMN12769618	0	1	0
SRR13302058	SAMN11953941	1	0	0
SRR13302059	SAMN11953942	1	0	0
SRR16951843	SAMN14072391	0	1	0
SRR16951844	SAMN14072390	1	0	0
SRR16951845	SAMN14072389	1	0	0
SRR16951846	SAMN14072388	1	0	0
SRR1819769	SAMN03268801	1	0	0
SRR1819771	SAMN03268796	1	0	0
SRR1819785	SAMN03268809	1	0	0
SRR1819792	SAMN03268807	1	0	0
SRR1819797	SAMN03277095	0	0	0
SRR1819798	SAMN03277097	0	0	0
SRR1819799	SAMN03277099	0	0	0
SRR1819800	SAMN03277092	0	0	0
SRR1819801	SAMN03277100	0	0	0
SRR1819803	SAMN03277098	0	0	0
SRR1819804	SAMN03277103	0	0	0
SRR1819805	SAMN03277104	0	0	0
SRR1819807	SAMN03277094	0	0	0
SRR1819808	SAMN03277093	0	0	0
SRR1819809	SAMN03277096	0	0	0
SRR2075860	SAMN03571960	1	0	0
SRR2075876	SAMN03575971	1	0	0
SRR2075877	SAMN03575972	0	0	0
SRR2075878	SAMN03575974	1	0	0
SRR2075879	SAMN03576356	1	0	0
SRR2075880	SAMN03576358	0	1	0
SRR2075881	SAMN03576359	0	0	0
SRR2075882	SAMN03576361	0	1	0
SRR2075883	SAMN03576362	0	1	0
SRR2075884	SAMN03576363	1	0	0
SRR2075885	SAMN03576364	1	0	0
SRR2075887	SAMN03576365	1	0	0
SRR2075890	SAMN03576366	0	0	0
SRR2075891	SAMN03576441	1	0	0
SRR2075893	SAMN03576442	1	0	0
SRR2075895	SAMN03576445	0	1	0
SRR2075896	SAMN03576446	1	0	0
SRR2075897	SAMN03576448	1	0	0
SRR2075898	SAMN03576449	1	0	0
SRR2075899	SAMN03576505	1	0	0
SRR2075900	SAMN03576511	1	0	0
SRR2075902	SAMN03576512	1	0	0
SRR2075903	SAMN03577725	1	0	0
SRR2075906	SAMN03577726	1	0	0
SRR2075907	SAMN03577727	0	0	0
SRR2075948	SAMN03577728	0	1	0
SRR2075950	SAMN03577729	1	0	0
SRR2075951	SAMN03577730	0	1	0
SRR22159793	SAMN29928039	0	0	0
SRR23106203	SAMN32778013	1	0	0
SRR23106229	SAMN32777989	1	0	0
SRR23106230	SAMN32777988	1	0	0
SRR23106234	SAMN32777985	1	0	0
SRR23106238	SAMN32777981	1	0	0
SRR23106245	SAMN32777975	1	0	0
SRR23106247	SAMN32777973	0	0	0
SRR23106308	SAMN32778066	1	0	0
SRR23106310	SAMN32778065	1	0	0
SRR23106313	SAMN32778062	1	0	0
SRR23106314	SAMN32778061	1	0	0
SRR23106317	SAMN32778058	1	0	0
SRR23106322	SAMN32778054	1	0	0
SRR23106324	SAMN32778052	1	0	0
SRR23106325	SAMN32778051	1	0	0
SRR23106330	SAMN32778046	1	0	0
SRR23106331	SAMN32777938	1	0	0
SRR23106346	SAMN32777958	1	0	0
SRR23106351	SAMN32777954	1	0	0
SRR23106353	SAMN32777952	1	0	0
SRR23106360	SAMN32778085	1	0	0
SRR23106361	SAMN32778084	1	0	0
SRR23106362	SAMN32778083	1	0	0
SRR23106363	SAMN32778082	1	0	0
SRR23106364	SAMN32778081	1	0	0
SRR23106365	SAMN32778080	1	0	0
SRR23106366	SAMN32778079	1	0	0
SRR23106367	SAMN32778078	1	0	0
SRR23106368	SAMN32778077	1	0	0
SRR23106369	SAMN32778076	0	0	0
SRR23106371	SAMN32778075	0	0	0
SRR23106372	SAMN32778074	1	0	0
SRR23106373	SAMN32778073	1	0	0
SRR23106374	SAMN32778072	0	0	0
SRR23106375	SAMN32778071	1	0	0
SRR23106397	SAMN32778029	1	0	0
SRR25100038	SAMN35995983	0	0	0
SRR25100039	SAMN35995980	0	1	0
SRR25100040	SAMN35995988	0	0	0
SRR25100041	SAMN35995981	0	0	0
SRR25100042	SAMN35995982	0	0	0
SRR25100043	SAMN35995979	1	0	0
SRR25100044	SAMN35995987	0	0	0
SRR25100045	SAMN35995986	0	0	0
SRR25100046	SAMN35995985	0	0	0
SRR25100047	SAMN35995984	0	0	0
SRR25519436	SAMN11953943	1	0	0
SRR26183117	SAMN37546086	0	0	0
SRR26956677	SAMN38450464	0	0	0
SRR2911724	SAMN04229826	0	0	0
SRR2911725	SAMN04229822	0	0	0
SRR2911726	SAMN04229823	0	0	0
SRR2911739	SAMN04229824	0	0	0
SRR2911742	SAMN04229825	0	0	0
SRR2916633	SAMN04254728	1	0	0
SRR2916634	SAMN04254729	1	0	0
SRR2916635	SAMN04254730	1	0	0
SRR2916636	SAMN04254731	1	0	0
SRR2916656	SAMN04254727	1	0	0
SRR29202109	SAMN41558526	0	0	0
SRR29202112	SAMN41558524	0	0	0
SRR29202117	SAMN41558519	0	0	0
SRR29202120	SAMN41558516	0	0	0
SRR29202135	SAMN41558532	0	0	0
SRR29202140	SAMN41558513	0	0	0
SRR29202142	SAMN41558511	0	0	0
SRR29202144	SAMN41558509	0	0	0
SRR29202145	SAMN41558508	0	0	0
SRR29202146	SAMN41558507	0	0	0
SRR29202150	SAMN41558504	0	0	0
SRR29202153	SAMN41558501	0	0	0
SRR29202157	SAMN41558484	0	0	0
SRR29202158	SAMN41558555	0	0	0
SRR29202159	SAMN41558554	0	0	0
SRR29202160	SAMN41558553	0	0	0
SRR29202161	SAMN41558552	0	0	0
SRR29202162	SAMN41558551	0	0	0
SRR29202164	SAMN41558549	0	0	0
SRR29202165	SAMN41558548	0	0	0
SRR29202166	SAMN41558547	0	0	0
SRR29202169	SAMN41558545	0	0	0
SRR29202172	SAMN41558498	0	0	0
SRR29202177	SAMN41558494	0	0	0
SRR29202178	SAMN41558493	0	0	0
SRR29202179	SAMN41558492	0	0	0
SRR29202182	SAMN41558489	0	0	0
SRR2954965	SAMN04252827	1	0	0
SRR29765747	SAMN42396291	0	0	0
SRR29765757	SAMN42396282	0	0	0
SRR29765760	SAMN42396279	0	0	0
SRR2976831	SAMN04022941	0	1	0
SRR3057118	SAMN04339712	1	0	0
SRR3112200	SAMN04432977	0	0	0
SRR3112201	SAMN04432978	0	0	0
SRR3112205	SAMN04432982	0	0	0
SRR3112206	SAMN04432983	0	0	0
SRR3112302	SAMN04014874	0	0	0
SRR3112304	SAMN04014876	0	1	0
SRR3112305	SAMN04014877	0	1	0
SRR3112306	SAMN04014878	0	0	0
SRR3112313	SAMN04014886	1	0	0
SRR3130307	SAMN04445872	0	0	0
SRR3130308	SAMN04445873	0	0	0
SRR3130309	SAMN04445874	0	0	0
SRR3130310	SAMN04445875	0	0	0
SRR3130311	SAMN04445876	0	0	0
SRR3131127	SAMN04446435	0	1	0
SRR3131130	SAMN04446436	0	1	0
SRR3131131	SAMN04446437	0	1	0
SRR3131132	SAMN04446438	0	1	0
SRR3131145	SAMN04446439	0	0	1
SRR3131146	SAMN04446440	0	0	0
SRR3131147	SAMN04446441	0	0	1
SRR3131148	SAMN04446442	0	0	1
SRR3131149	SAMN04446443	0	0	1
SRR3131150	SAMN04446444	0	0	1
SRR3131151	SAMN04446445	0	0	1
SRR3131152	SAMN04446446	0	0	1
SRR3131153	SAMN04446447	0	0	1
SRR3131154	SAMN04446448	0	0	1
SRR3131155	SAMN04446449	0	0	1
SRR3131156	SAMN04446450	0	0	1
SRR3131157	SAMN04446451	1	0	0
SRR3131158	SAMN04446452	1	0	0
SRR3131159	SAMN04446453	1	0	0
SRR3131162	SAMN04446456	1	0	0
SRR3131163	SAMN04446457	1	0	0
SRR3131164	SAMN04446458	1	0	0
SRR3131165	SAMN04446459	1	0	0
SRR3131166	SAMN04446460	1	0	0
SRR3131167	SAMN04446461	1	0	0
SRR3131168	SAMN04446462	0	0	0
SRR3131169	SAMN04446463	1	0	0
SRR3131170	SAMN04446464	1	0	0
SRR3131171	SAMN04446465	1	0	0
SRR3131172	SAMN04446466	1	0	0
SRR3131173	SAMN04446467	1	0	0
SRR3131206	SAMN04446468	0	0	1
SRR3131207	SAMN04446469	0	0	1
SRR3131208	SAMN04446470	0	0	1
SRR3131209	SAMN04446471	0	0	1
SRR3131210	SAMN04446472	0	0	1
SRR3131211	SAMN04446473	0	0	0
SRR3131212	SAMN04446474	0	0	1
SRR3131213	SAMN04446475	0	0	1
SRR3131214	SAMN04446476	0	0	1
SRR3131215	SAMN04446477	0	0	1
SRR3131216	SAMN04446520	1	0	0
SRR3131217	SAMN04446538	1	0	0
SRR3131219	SAMN04446540	1	0	0
SRR3131220	SAMN04446541	1	0	0
SRR3131221	SAMN04446542	1	0	0
SRR3131222	SAMN04446543	1	0	0
SRR3131223	SAMN04446544	1	0	0
SRR3131224	SAMN04446545	1	0	0
SRR3131225	SAMN04446546	1	0	0
SRR3131226	SAMN04446547	1	0	0
SRR3131227	SAMN04446548	1	0	0
SRR3131228	SAMN04446549	1	0	0
SRR3131229	SAMN04446550	1	0	0
SRR3131230	SAMN04446551	1	0	0
SRR3131234	SAMN04446555	1	0	0
SRR3131235	SAMN04446556	1	0	0
SRR3131236	SAMN04446557	1	0	0
SRR3131237	SAMN04446558	1	0	0
SRR3131238	SAMN04446559	1	0	0
SRR3131239	SAMN04446560	1	0	0
SRR3131240	SAMN04446535	1	0	0
SRR3133084	SAMN04447699	0	0	1
SRR3133085	SAMN04447700	0	0	1
SRR3133086	SAMN04447701	0	0	1
SRR3133087	SAMN04447702	0	0	1
SRR3133088	SAMN04447703	0	0	1
SRR3133089	SAMN04447704	0	0	1
SRR3133090	SAMN04447705	0	0	1
SRR3133091	SAMN04447706	0	0	1
SRR3133092	SAMN04447707	0	0	1
SRR3133093	SAMN04447708	0	0	1
SRR3133094	SAMN04447709	0	0	1
SRR3133095	SAMN04447710	0	0	1
SRR3133096	SAMN04447711	0	0	1
SRR3133097	SAMN04447712	0	0	1
SRR3133098	SAMN04447713	0	0	1
SRR3133099	SAMN04447714	0	0	1
SRR3133100	SAMN04447715	0	0	1
SRR3133101	SAMN04447716	0	0	1
SRR3133102	SAMN04447717	0	0	1
SRR3133103	SAMN04447718	0	0	1
SRR3133104	SAMN04447719	0	0	1
SRR3133105	SAMN04447720	0	0	1
SRR3133106	SAMN04447721	0	0	1
SRR3133107	SAMN04447722	0	0	1
SRR3135171	SAMN04448596	0	0	0
SRR3135275	SAMN04448648	1	0	0
SRR3137567	SAMN04450953	0	0	0
SRR3137568	SAMN04450954	0	0	0
SRR3137569	SAMN04450955	0	0	0
SRR3137570	SAMN04450956	0	0	0
SRR3137571	SAMN04450957	0	0	0
SRR3137572	SAMN04450958	0	0	0
SRR3137574	SAMN04450960	0	0	0
SRR3137575	SAMN04450961	0	0	0
SRR3137579	SAMN04450965	0	0	0
SRR3137580	SAMN04450966	0	0	0
SRR3137581	SAMN04450967	0	0	0
SRR3137582	SAMN04450968	0	0	0
SRR3137583	SAMN04450969	0	0	0
SRR3137584	SAMN04450970	0	0	0
SRR3137585	SAMN04450971	0	0	0
SRR3137586	SAMN04450972	0	0	0
SRR3137587	SAMN04450973	0	0	0
SRR3137588	SAMN04450974	0	0	0
SRR3137589	SAMN04450975	0	0	0
SRR3137590	SAMN04450976	0	0	0
SRR3146378	SAMN04457322	0	0	1
SRR3146379	SAMN04457323	0	0	1
SRR3146380	SAMN04457324	0	0	1
SRR3146381	SAMN04457325	0	0	1
SRR3146382	SAMN04457326	0	0	1
SRR3146383	SAMN04457327	0	0	1
SRR3146384	SAMN04457328	0	0	1
SRR3146385	SAMN04457329	0	0	1
SRR3146386	SAMN04457330	0	0	1
SRR3146387	SAMN04457331	0	0	1
SRR3151888	SAMN04479995	0	0	0
SRR3151889	SAMN04479996	0	0	0
SRR3151890	SAMN04479997	0	0	0
SRR3151891	SAMN04479998	0	0	0
SRR3152160	SAMN04480078	1	0	0
SRR3152161	SAMN04480079	1	0	0
SRR3152162	SAMN04480080	1	0	0
SRR3152492	SAMN04480650	0	0	0
SRR3152495	SAMN04480653	0	0	0
SRR3152496	SAMN04480654	0	0	0
SRR3152497	SAMN04480655	0	0	0
SRR3152498	SAMN04480656	0	0	0
SRR3152499	SAMN04480657	0	0	0
SRR3152500	SAMN04480658	1	0	0
SRR3152502	SAMN04480660	0	0	0
SRR3152503	SAMN04480661	0	0	0
SRR3152504	SAMN04480662	0	0	0
SRR3152506	SAMN04480664	0	0	0
SRR3152507	SAMN04480665	0	0	0
SRR3152508	SAMN04480666	0	0	0
SRR3152510	SAMN04480668	1	0	0
SRR3159147	SAMN04482432	0	0	1
SRR3159148	SAMN04482433	0	0	1
SRR3159149	SAMN04482434	0	0	1
SRR3159150	SAMN04482435	0	0	1
SRR3159151	SAMN04482436	0	0	1
SRR3159152	SAMN04482437	0	0	1
SRR3159153	SAMN04482438	0	0	1
SRR3159154	SAMN04482439	0	0	1
SRR3159155	SAMN04482440	0	0	1
SRR3159156	SAMN04482441	0	0	1
SRR3159157	SAMN04482442	0	0	1
SRR3159158	SAMN04482443	0	0	1
SRR3159159	SAMN04482444	0	0	1
SRR3159160	SAMN04482445	0	0	1
SRR3159161	SAMN04482446	0	0	1
SRR3159162	SAMN04482447	0	0	1
SRR3159163	SAMN04482448	0	0	1
SRR3159164	SAMN04482449	0	0	1
SRR3159165	SAMN04482450	0	0	1
SRR3159166	SAMN04482451	0	0	1
SRR3159167	SAMN04482452	0	0	1
SRR3159168	SAMN04482453	0	0	1
SRR3159169	SAMN04482454	0	0	1
SRR3159170	SAMN04482455	0	0	1
SRR3168639	SAMN04456594	0	0	0
SRR3168640	SAMN04456595	0	0	0
SRR3168642	SAMN04456583	0	1	0
SRR3168648	SAMN04456589	0	0	0
SRR3170229	SAMN04485907	0	0	0
SRR3170230	SAMN04485908	0	0	0
SRR3170231	SAMN04485909	0	0	0
SRR3170232	SAMN04485910	0	0	0
SRR3170233	SAMN04485911	0	0	0
SRR3170234	SAMN04485912	0	0	0
SRR3170235	SAMN04485913	0	0	0
SRR3170236	SAMN04485914	0	0	0
SRR3170237	SAMN04485915	0	0	0
SRR3170238	SAMN04485916	0	0	0
SRR3170239	SAMN04485917	0	0	0
SRR3170240	SAMN04485918	0	0	0
SRR3170241	SAMN04485901	0	0	0
SRR3170242	SAMN04485902	0	0	0
SRR3170243	SAMN04485903	0	0	0
SRR3170244	SAMN04485904	0	0	0
SRR3170246	SAMN04485906	0	0	0
SRR3170252	SAMN04487133	0	0	0
SRR3170253	SAMN04487134	0	0	0
SRR3170254	SAMN04487135	0	0	0
SRR3170255	SAMN04487136	0	0	0
SRR3170256	SAMN04487137	0	0	0
SRR3170257	SAMN04487138	0	0	0
SRR3170260	SAMN04487141	0	0	0
SRR3170261	SAMN04487142	0	0	0
SRR3170262	SAMN04487143	0	0	0
SRR3170263	SAMN04487144	0	0	0
SRR3170264	SAMN04487145	0	0	0
SRR3170266	SAMN04487147	0	0	0
SRR3170267	SAMN04487148	0	0	0
SRR3170268	SAMN04487149	0	0	0
SRR3170530	SAMN04487132	0	0	0
SRR3170587	SAMN04488268	0	0	0
SRR3170588	SAMN04488269	0	0	0
SRR3170589	SAMN04488270	0	0	0
SRR3170590	SAMN04488271	0	0	0
SRR3170591	SAMN04488272	0	0	0
SRR3170592	SAMN04488273	0	0	0
SRR3170593	SAMN04488274	0	0	0
SRR3170594	SAMN04488275	0	0	0
SRR3170595	SAMN04488276	0	0	0
SRR3170596	SAMN04488277	0	0	0
SRR3170597	SAMN04488278	0	0	0
SRR3170598	SAMN04488279	0	0	0
SRR3170599	SAMN04488280	0	0	0
SRR3170600	SAMN04488281	0	0	0
SRR3170601	SAMN04488282	0	0	0
SRR3170602	SAMN04488283	0	0	0
SRR3170603	SAMN04488284	0	0	0
SRR3170604	SAMN04488285	0	0	0
SRR3170605	SAMN04488286	0	0	0
SRR3170606	SAMN04488287	0	0	0
SRR3170608	SAMN04488289	0	0	0
SRR3170609	SAMN04488290	0	0	0
SRR3170610	SAMN04488291	0	0	0
SRR3170612	SAMN04488293	0	0	0
SRR3170733	SAMN04491035	1	0	0
SRR3170734	SAMN04491036	1	0	0
SRR3170735	SAMN04491037	1	0	0
SRR3170736	SAMN04491038	1	0	0
SRR3170737	SAMN04491039	1	0	0
SRR3170738	SAMN04491040	1	0	0
SRR3170739	SAMN04491041	1	0	0
SRR3170740	SAMN04491042	0	0	0
SRR3170768	SAMN04491433	1	0	0
SRR3170769	SAMN04491434	1	0	0
SRR3170770	SAMN04491435	1	0	0
SRR3170771	SAMN04491436	1	0	0
SRR3170772	SAMN04491437	1	0	0
SRR3170773	SAMN04491438	1	0	0
SRR3170774	SAMN04491439	1	0	0
