sample_id	biosample	blaSHV	blaKPC	blaNDM	blaCTX-M	qnrB	blaOXA-48-like	aac6-Ib-cr
DRR120570	SAMD00108720	1	0	0	1	0	0	0
DRR120571	SAMD00108721	1	0	0	1	0	0	0
DRR120572	SAMD00108722	1	0	0	1	0	0	0
DRR120573	SAMD00108723	1	0	0	1	0	0	0
DRR120574	SAMD00108724	1	0	0	1	0	0	0
DRR120577	SAMD00108727	1	0	0	1	0	0	0
DRR120580	SAMD00108730	1	0	0	1	0	0	0
DRR120581	SAMD00108731	1	0	0	1	0	0	0
DRR120586	SAMD00108736	1	0	0	1	0	0	0
DRR120587	SAMD00108737	1	0	0	1	0	0	0
DRR120588	SAMD00108738	1	0	0	1	0	0	0
DRR120589	SAMD00108739	1	0	0	1	0	0	0
DRR120590	SAMD00108740	1	0	0	1	0	0	0
DRR120591	SAMD00108742	1	0	0	1	0	0	0
DRR120593	SAMD00108745	1	0	0	1	1	0	0
DRR120596	SAMD00108748	1	0	0	1	0	0	0
DRR120598	SAMD00108750	1	0	0	1	0	0	0
DRR120599	SAMD00108751	1	0	0	1	0	0	0
DRR120601	SAMD00108753	1	0	0	1	0	0	0
DRR120606	SAMD00108758	1	0	0	1	0	0	0
DRR120610	SAMD00108700	1	0	1	0	1	0	0
DRR120614	SAMD00108704	1	0	1	0	0	0	0
DRR120619	SAMD00108709	0	0	1	1	1	0	1
DRR121780	SAMD00110856	1	0	1	1	1	0	0
DRR121791	SAMD00110859	1	0	1	1	0	0	1
DRR121794	SAMD00110860	1	0	0	1	0	1	1
DRR121796	SAMD00110862	1	0	1	1	1	0	0
DRR121797	SAMD00110863	1	0	1	1	0	0	1
DRR121798	SAMD00110864	1	0	1	1	1	0	0
DRR121799	SAMD00110865	1	0	1	1	1	0	0
DRR121806	SAMD00110866	1	0	1	1	1	0	1
DRR121811	SAMD00110867	1	0	1	1	0	0	1
DRR121812	SAMD00110868	1	0	1	1	1	1	1
DRR121813	SAMD00110869	1	0	0	1	0	1	0
DRR121814	SAMD00110870	1	0	1	1	0	0	1
DRR121815	SAMD00110871	1	0	0	1	1	1	0
DRR121816	SAMD00110872	1	0	0	0	0	1	0
DRR121817	SAMD00110873	1	0	1	0	0	0	1
DRR121818	SAMD00110874	1	0	1	1	0	0	0
DRR121819	SAMD00110875	1	0	1	1	1	0	1
DRR121820	SAMD00110876	1	0	1	1	1	0	0
DRR121821	SAMD00110877	1	0	1	1	0	0	0
DRR121822	SAMD00110878	1	0	1	1	0	0	1
DRR121823	SAMD00110879	1	0	1	1	1	0	1
DRR121824	SAMD00110880	1	0	1	1	1	0	1
DRR121825	SAMD00110881	1	0	1	1	1	1	1
DRR121826	SAMD00110882	1	0	1	1	1	1	1
DRR121827	SAMD00110883	1	0	1	0	0	0	0
DRR121828	SAMD00110884	1	0	0	1	0	1	0
DRR121829	SAMD00110885	1	0	1	1	0	1	1
DRR121830	SAMD00110886	1	0	1	1	0	0	0
DRR121831	SAMD00110887	1	0	0	1	0	1	0
DRR121832	SAMD00110888	1	0	1	1	0	0	1
DRR121833	SAMD00110889	1	0	0	1	0	1	0
DRR121834	SAMD00110890	1	0	1	1	1	1	1
DRR121835	SAMD00110891	1	0	0	0	0	1	0
DRR121836	SAMD00110892	1	0	0	1	0	1	0
DRR121837	SAMD00110893	1	0	0	1	1	1	0
DRR121838	SAMD00110894	1	0	1	0	0	1	1
DRR121839	SAMD00110895	1	0	1	1	1	0	0
DRR121840	SAMD00110896	1	0	1	1	0	1	0
DRR121841	SAMD00110897	1	0	1	1	0	0	1
DRR121842	SAMD00110898	1	0	0	1	0	1	0
DRR121843	SAMD00110899	1	0	0	1	0	1	0
DRR121844	SAMD00110900	1	0	0	1	0	1	0
DRR121845	SAMD00110901	1	0	1	0	0	1	1
DRR121846	SAMD00110902	1	0	0	1	0	1	0
DRR121847	SAMD00110903	1	0	0	1	1	1	0
DRR121848	SAMD00110904	1	0	1	1	0	1	0
DRR121849	SAMD00110905	1	0	1	1	0	1	0
DRR121850	SAMD00110906	1	0	0	1	0	1	0
DRR121851	SAMD00110907	1	0	1	1	1	0	1
DRR122210	SAMD00111748	1	0	0	1	1	1	0
DRR122212	SAMD00111749	1	0	1	1	1	0	0
DRR122214	SAMD00111750	1	0	1	1	1	0	0
DRR122216	SAMD00111751	1	0	1	1	0	0	1
DRR122218	SAMD00111752	1	0	1	1	0	0	0
DRR122219	SAMD00111753	1	0	1	1	1	0	1
DRR122220	SAMD00111754	1	0	0	1	0	1	1
DRR122221	SAMD00111755	1	0	0	1	0	1	0
DRR122222	SAMD00111756	1	0	1	1	0	1	0
DRR122223	SAMD00111757	1	0	0	1	0	1	0
DRR122224	SAMD00111758	1	0	1	1	0	1	0
DRR122225	SAMD00111759	1	0	1	1	0	1	0
DRR122226	SAMD00111760	1	0	0	1	1	1	0
DRR122227	SAMD00111761	1	0	1	1	0	1	0
DRR122228	SAMD00111762	1	0	1	1	0	1	0
DRR122229	SAMD00111763	1	0	1	1	0	1	0
DRR122230	SAMD00111764	1	0	1	1	0	1	0
DRR122231	SAMD00111765	1	0	1	1	0	1	0
DRR122232	SAMD00111766	1	0	1	1	0	1	0
DRR122233	SAMD00111767	1	0	1	1	1	0	0
DRR122234	SAMD00111768	1	0	1	1	0	1	0
DRR122235	SAMD00111769	1	0	1	1	0	1	0
DRR122236	SAMD00111770	1	0	1	1	0	1	0
DRR122237	SAMD00111771	1	0	1	1	0	1	0
DRR122238	SAMD00111772	1	0	1	1	1	0	0
DRR122239	SAMD00111773	1	0	0	1	0	1	0
DRR122240	SAMD00111774	1	0	0	1	1	1	0
DRR122241	SAMD00111775	1	0	1	1	0	1	0
DRR122242	SAMD00111776	1	0	1	1	0	1	0
DRR122243	SAMD00111777	1	0	1	1	1	0	1
DRR122244	SAMD00111778	1	0	0	1	1	1	0
DRR122245	SAMD00111779	0	0	1	1	1	0	0
DRR122246	SAMD00111780	1	0	0	1	0	1	0
DRR122247	SAMD00111781	1	0	1	1	0	1	0
DRR122248	SAMD00111782	1	0	1	1	0	1	0
DRR122249	SAMD00111783	1	0	1	1	0	1	0
DRR122250	SAMD00111784	1	0	0	1	1	1	0
DRR122251	SAMD00111785	1	0	1	1	0	1	0
DRR122252	SAMD00111786	1	0	1	1	0	1	0
DRR122253	SAMD00111787	1	0	1	1	0	1	0
DRR122254	SAMD00111788	1	0	0	1	0	1	0
DRR122255	SAMD00111789	1	0	0	1	0	1	1
DRR122256	SAMD00111790	1	0	1	1	0	1	0
DRR122257	SAMD00111791	1	0	1	1	0	1	0
DRR122258	SAMD00111792	1	0	0	1	0	1	0
DRR122259	SAMD00111793	1	0	0	1	1	1	1
DRR122260	SAMD00111794	1	0	0	1	0	1	0
DRR122261	SAMD00111795	1	0	1	1	0	1	0
DRR122262	SAMD00111796	1	0	1	1	0	0	0
DRR122263	SAMD00111797	1	0	1	1	0	0	0
DRR122264	SAMD00111798	1	0	1	1	0	1	0
DRR122265	SAMD00111799	1	0	0	1	0	1	0
DRR122266	SAMD00111800	1	0	1	1	0	1	0
DRR122267	SAMD00111801	1	0	0	1	0	1	0
DRR122268	SAMD00111802	1	0	0	1	0	1	0
DRR122269	SAMD00111803	1	0	1	1	0	1	0
DRR122270	SAMD00111804	1	0	0	1	1	1	0
DRR122271	SAMD00111805	1	0	1	1	0	1	0
DRR122272	SAMD00111806	1	0	1	1	0	0	0
DRR122273	SAMD00111807	1	0	1	1	0	1	0
DRR122274	SAMD00111808	1	0	0	1	0	1	0
DRR122275	SAMD00111809	1	0	1	1	0	1	0
DRR122276	SAMD00111810	1	0	1	1	0	1	0
DRR122277	SAMD00111811	1	0	1	1	0	0	0
DRR122278	SAMD00111812	1	0	1	1	0	0	0
DRR122279	SAMD00111813	1	0	1	1	0	1	0
DRR122280	SAMD00111814	1	0	0	1	1	1	0
DRR122281	SAMD00111815	1	0	1	1	0	1	0
DRR122282	SAMD00111816	1	0	0	1	0	1	0
DRR122283	SAMD00111817	1	0	1	1	0	1	0
DRR122284	SAMD00111818	1	0	1	1	0	1	0
DRR122285	SAMD00111819	1	0	1	1	0	0	0
DRR122286	SAMD00111820	1	0	1	1	0	1	0
DRR122287	SAMD00111821	1	0	1	1	0	1	0
DRR122288	SAMD00111822	1	0	1	1	0	1	0
DRR122289	SAMD00111823	1	0	0	1	0	1	1
DRR122290	SAMD00111824	1	0	1	1	0	1	0
DRR122291	SAMD00111825	1	0	1	1	0	1	0
DRR122292	SAMD00111826	1	0	1	1	0	1	0
DRR122293	SAMD00111827	1	0	1	1	0	1	0
DRR122294	SAMD00111828	1	0	1	1	0	1	0
DRR122295	SAMD00111829	1	0	1	1	0	1	0
DRR122296	SAMD00111830	1	0	1	1	0	1	0
DRR122297	SAMD00111831	1	0	1	1	0	1	0
DRR122298	SAMD00111832	1	0	0	1	0	1	0
DRR122444	SAMD00108759	1	0	1	1	0	0	1
DRR122445	SAMD00108760	1	0	0	1	0	1	1
DRR122446	SAMD00108761	1	0	1	1	0	0	0
DRR122447	SAMD00108762	1	0	1	1	0	0	1
DRR122448	SAMD00108763	1	0	0	1	0	1	1
DRR122449	SAMD00108764	1	0	0	1	0	1	1
DRR122450	SAMD00108765	1	0	1	1	1	0	1
DRR122451	SAMD00108766	1	0	0	1	0	1	1
DRR122452	SAMD00108768	1	0	0	1	0	1	1
DRR122453	SAMD00108769	1	0	0	1	0	1	1
DRR122454	SAMD00108770	1	0	0	1	0	1	1
DRR122455	SAMD00108771	1	0	1	1	1	0	1
DRR122456	SAMD00108772	1	0	0	1	0	1	1
DRR122459	SAMD00108775	1	0	1	1	1	0	0
DRR122461	SAMD00108777	1	0	1	1	0	0	1
DRR122462	SAMD00108778	1	0	0	1	0	1	1
DRR122463	SAMD00108779	1	0	1	1	1	0	1
DRR122465	SAMD00108781	1	0	0	1	0	1	1
DRR122467	SAMD00108783	1	0	0	1	0	1	1
DRR122468	SAMD00108784	1	0	1	1	0	1	1
DRR122469	SAMD00108785	1	0	1	1	0	1	1
DRR122470	SAMD00108786	1	0	0	1	0	1	1
DRR122472	SAMD00108788	1	0	0	1	0	1	1
DRR122473	SAMD00108789	0	0	1	1	1	0	1
DRR122474	SAMD00108790	1	0	0	1	0	1	1
DRR122475	SAMD00108791	1	0	0	1	0	1	1
DRR122476	SAMD00108792	1	0	1	1	0	1	1
DRR122480	SAMD00108797	1	0	1	1	1	0	1
DRR122482	SAMD00108799	1	0	1	1	1	0	0
DRR122483	SAMD00108800	1	0	1	0	0	0	0
DRR122484	SAMD00108801	1	0	1	1	1	0	0
DRR122485	SAMD00108802	1	0	1	1	1	0	0
DRR122489	SAMD00108806	1	0	0	1	1	0	1
DRR122490	SAMD00108807	1	0	1	1	0	0	1
DRR122491	SAMD00108808	1	0	1	1	0	0	1
DRR122492	SAMD00108809	1	0	1	1	1	0	1
DRR122493	SAMD00108810	1	0	1	1	1	0	1
DRR122497	SAMD00108814	1	0	1	0	0	0	0
DRR122502	SAMD00108819	1	0	1	1	0	0	1
DRR122503	SAMD00108820	1	0	1	1	0	0	1
DRR122505	SAMD00108822	1	0	0	1	0	1	0
DRR122506	SAMD00108823	1	0	1	1	0	1	0
DRR122507	SAMD00108824	1	0	1	1	0	1	1
DRR122508	SAMD00108825	1	0	1	1	0	0	1
DRR122511	SAMD00108828	1	0	1	1	1	0	0
DRR122513	SAMD00108830	1	0	1	1	0	0	1
DRR122514	SAMD00108831	1	0	0	1	0	1	1
DRR122515	SAMD00108832	1	0	0	1	0	1	1
DRR122516	SAMD00108833	1	0	1	1	0	0	1
DRR122517	SAMD00108834	1	0	0	1	0	1	0
DRR122518	SAMD00108835	0	0	1	1	1	0	1
DRR122519	SAMD00108836	1	0	0	1	0	1	1
DRR122522	SAMD00108840	0	0	1	1	1	0	1
DRR122524	SAMD00108842	0	0	1	1	1	0	0
DRR122526	SAMD00108844	1	0	1	1	0	0	1
DRR122528	SAMD00108846	1	0	1	1	1	0	0
DRR122529	SAMD00108847	0	0	0	1	0	0	1
DRR122532	SAMD00108850	1	0	1	1	1	0	0
DRR122534	SAMD00108852	1	0	1	1	1	0	1
DRR122535	SAMD00108853	1	0	1	1	0	0	1
DRR122536	SAMD00108854	0	0	1	1	0	1	0
DRR122537	SAMD00108855	1	0	1	1	0	0	1
DRR122538	SAMD00108857	1	0	0	1	0	1	1
DRR122539	SAMD00108858	1	0	0	1	0	1	1
DRR122540	SAMD00108859	1	0	0	1	0	1	1
DRR122541	SAMD00108860	1	0	0	1	0	1	1
DRR122542	SAMD00108861	1	0	0	1	0	1	0
DRR122544	SAMD00108863	1	0	0	1	0	1	1
DRR122545	SAMD00108864	1	0	0	1	0	1	1
DRR122546	SAMD00108865	1	0	0	1	0	1	0
DRR122547	SAMD00108866	1	0	0	1	0	1	0
DRR122548	SAMD00108867	1	0	0	1	0	1	0
DRR122549	SAMD00108868	1	0	1	1	0	0	1
DRR122551	SAMD00108870	1	0	1	1	0	1	0
DRR122552	SAMD00108871	0	0	1	1	0	0	0
DRR122553	SAMD00108872	1	0	1	1	1	0	1
DRR122555	SAMD00108874	1	0	1	1	0	0	1
DRR122556	SAMD00108875	1	0	1	1	0	0	1
DRR122558	SAMD00108877	1	0	1	1	0	0	0
DRR122559	SAMD00108879	1	0	1	1	0	0	1
DRR122560	SAMD00108880	1	0	1	1	0	0	1
DRR122561	SAMD00108881	1	0	1	1	0	1	0
DRR122562	SAMD00108882	1	0	1	1	1	0	1
DRR122564	SAMD00108884	1	0	1	1	0	0	0
DRR122566	SAMD00108886	1	0	0	1	0	1	0
DRR122567	SAMD00108887	1	0	1	1	0	0	1
DRR122568	SAMD00108888	1	0	1	1	0	0	1
DRR122570	SAMD00108890	1	0	1	0	0	0	0
DRR124904	SAMD00112423	1	1	0	0	1	0	0
DRR124905	SAMD00112424	1	1	0	0	1	0	0
DRR124906	SAMD00112425	1	0	0	1	0	0	1
DRR124907	SAMD00112426	1	0	0	1	1	0	1
DRR124908	SAMD00112427	0	0	1	1	1	0	0
DRR124909	SAMD00112428	0	0	1	1	1	0	1
DRR124910	SAMD00112429	1	1	0	0	1	0	1
DRR124911	SAMD00112430	1	0	1	0	1	0	0
DRR124912	SAMD00112431	1	0	0	1	0	0	0
DRR124913	SAMD00112432	1	0	0	1	1	0	1
DRR124914	SAMD00112433	1	0	0	1	0	0	0
DRR124915	SAMD00112434	1	1	0	0	1	0	0
DRR124916	SAMD00112435	1	1	0	0	1	0	1
DRR124917	SAMD00112436	1	0	0	1	0	0	0
DRR124918	SAMD00112437	1	0	0	1	0	0	0
DRR124919	SAMD00112438	1	0	0	1	0	1	0
DRR124920	SAMD00112439	0	0	1	1	1	0	0
DRR124921	SAMD00112440	1	1	0	1	1	0	1
DRR124922	SAMD00112441	1	0	1	1	0	0	0
DRR124923	SAMD00112442	1	1	1	0	0	0	1
DRR124924	SAMD00112443	1	0	0	1	0	0	0
DRR124925	SAMD00112444	1	1	0	0	1	0	1
DRR124926	SAMD00112445	1	1	0	0	1	0	1
DRR124927	SAMD00112446	1	1	0	0	1	0	1
DRR124928	SAMD00112447	0	0	1	0	0	0	0
DRR124929	SAMD00112448	1	0	1	1	0	0	1
DRR124930	SAMD00112449	1	1	0	0	1	0	0
DRR124931	SAMD00112450	1	1	0	0	1	0	0
DRR124932	SAMD00112451	1	1	0	0	1	0	1
DRR124933	SAMD00112452	1	0	1	1	1	0	1
DRR124934	SAMD00112453	1	1	0	0	1	0	0
DRR124935	SAMD00112454	1	1	0	0	1	0	1
DRR124936	SAMD00112455	1	0	0	1	0	0	0
DRR124937	SAMD00112456	1	1	0	0	1	0	1
DRR124938	SAMD00112457	1	0	0	1	0	0	0
DRR124939	SAMD00112458	1	0	0	1	0	0	0
DRR124940	SAMD00112459	1	0	1	1	1	0	0
DRR124941	SAMD00112460	1	0	1	1	1	0	1
DRR124942	SAMD00112461	1	0	0	1	1	1	1
DRR124943	SAMD00112462	1	1	0	0	1	0	1
DRR124944	SAMD00112463	1	0	0	0	0	0	0
DRR124945	SAMD00112464	1	1	0	0	1	0	1
DRR124946	SAMD00112465	1	1	0	0	1	0	1
DRR124947	SAMD00112466	1	1	0	1	1	0	1
DRR124948	SAMD00112467	1	1	0	0	1	0	0
DRR124949	SAMD00112468	1	1	0	0	1	0	0
DRR124950	SAMD00112469	1	0	0	1	0	1	0
DRR124951	SAMD00112470	1	1	0	0	1	0	0
DRR124952	SAMD00112471	1	0	0	1	0	0	0
DRR124953	SAMD00112472	1	0	0	0	0	0	0
DRR124954	SAMD00112473	1	0	0	1	0	1	0
DRR124955	SAMD00112474	1	0	1	1	0	0	0
DRR124956	SAMD00112475	1	0	1	0	0	0	1
DRR124957	SAMD00112476	1	1	0	0	1	0	1
DRR124958	SAMD00112477	1	1	0	0	1	0	0
DRR124959	SAMD00112478	1	0	1	1	1	0	1
DRR124960	SAMD00112479	1	0	0	0	0	0	0
DRR124961	SAMD00112480	1	0	0	1	0	0	0
DRR124962	SAMD00112481	1	0	1	0	1	0	0
DRR124963	SAMD00112482	1	0	0	1	0	1	0
DRR124964	SAMD00112483	1	1	0	0	1	0	0
DRR124965	SAMD00112484	1	1	0	1	1	0	1
DRR124966	SAMD00112485	1	1	0	0	1	0	0
DRR124967	SAMD00112486	1	0	0	1	0	1	0
DRR124968	SAMD00112487	1	0	1	1	0	0	0
DRR124969	SAMD00112488	1	0	0	1	0	0	0
DRR124970	SAMD00112489	1	1	0	0	1	0	0
DRR124971	SAMD00112490	1	1	0	1	0	0	1
DRR124972	SAMD00112491	1	0	0	0	0	0	1
DRR124973	SAMD00112492	1	0	0	1	0	0	0
DRR124974	SAMD00112493	1	1	0	0	1	0	0
DRR124975	SAMD00112494	1	0	1	0	1	0	1
DRR124976	SAMD00112495	1	0	0	0	0	1	1
DRR124977	SAMD00112496	1	0	0	1	0	1	0
DRR124978	SAMD00112497	1	0	0	1	0	1	0
DRR124979	SAMD00112498	1	0	1	1	0	0	0
DRR124980	SAMD00112499	1	0	0	0	1	1	1
DRR124981	SAMD00112500	1	1	0	0	0	0	0
DRR124982	SAMD00112501	1	0	1	1	1	0	1
DRR124985	SAMD00112504	1	0	1	0	1	0	1
DRR124987	SAMD00112506	1	0	1	1	1	0	1
DRR124988	SAMD00112507	1	0	0	1	0	1	0
DRR124989	SAMD00112508	1	1	0	1	1	0	1
DRR124991	SAMD00112510	1	0	1	1	0	1	1
DRR124992	SAMD00112511	1	0	1	1	1	0	0
DRR124993	SAMD00112512	1	0	1	1	1	0	1
DRR124994	SAMD00112513	1	1	0	1	1	0	1
DRR124997	SAMD00112516	1	0	0	1	1	0	1
DRR124998	SAMD00112517	1	0	1	1	1	0	1
DRR124999	SAMD00112518	1	0	0	1	0	1	0
DRR125001	SAMD00112520	1	0	1	0	0	0	0
DRR125002	SAMD00112521	1	0	1	1	1	0	1
DRR125004	SAMD00112523	1	1	1	1	0	0	0
DRR125005	SAMD00112524	1	0	1	1	1	0	1
DRR125006	SAMD00112525	0	1	0	1	1	0	1
DRR125007	SAMD00112526	1	1	0	0	0	0	0
DRR125008	SAMD00112527	1	0	0	1	0	1	0
DRR125009	SAMD00112528	1	1	0	0	0	0	0
DRR125010	SAMD00112529	1	0	1	1	1	0	1
DRR125011	SAMD00112530	0	0	1	1	0	0	1
DRR125014	SAMD00112533	1	0	1	1	1	0	1
DRR125015	SAMD00112534	1	0	0	1	1	1	1
DRR125016	SAMD00112535	1	0	1	1	0	0	0
DRR125017	SAMD00112536	1	1	0	1	0	0	1
DRR125018	SAMD00112537	1	0	1	1	1	0	0
DRR125019	SAMD00112538	1	0	1	1	1	0	0
DRR125020	SAMD00112539	1	1	0	1	1	0	1
DRR125021	SAMD00112540	1	1	0	1	1	0	1
DRR125022	SAMD00112541	1	1	0	0	1	0	1
DRR125025	SAMD00112544	1	0	1	1	1	0	1
DRR125026	SAMD00112545	1	0	1	0	0	0	0
DRR125027	SAMD00112546	1	0	1	1	0	0	1
DRR125028	SAMD00112547	1	0	1	0	1	0	0
DRR125030	SAMD00112549	1	0	1	1	1	0	0
DRR125031	SAMD00112550	1	1	0	1	0	0	1
DRR125032	SAMD00112551	1	0	1	1	1	0	1
DRR125033	SAMD00112552	1	1	0	1	1	0	0
DRR125037	SAMD00112556	1	1	0	1	0	0	1
DRR125038	SAMD00112557	1	0	1	1	0	0	1
DRR125039	SAMD00112558	1	1	0	0	1	0	1
DRR125040	SAMD00112559	1	0	0	1	1	1	1
DRR125045	SAMD00112564	1	1	0	0	1	0	1
DRR125046	SAMD00112565	1	0	1	1	1	0	1
DRR125047	SAMD00112566	1	1	0	1	0	0	1
DRR125048	SAMD00112567	1	1	0	1	1	0	1
DRR125049	SAMD00112568	1	1	0	1	1	0	0
DRR125050	SAMD00112569	1	0	1	1	1	0	1
DRR125051	SAMD00112570	1	1	0	0	0	0	0
DRR125052	SAMD00112571	1	1	0	0	0	0	0
DRR125053	SAMD00112572	1	0	0	1	1	1	1
DRR125054	SAMD00112573	1	1	1	0	1	0	1
DRR125055	SAMD00112574	1	0	0	0	0	0	0
DRR125056	SAMD00112575	1	0	0	1	1	1	1
DRR125057	SAMD00112576	1	0	0	1	1	0	1
DRR125059	SAMD00112578	0	0	1	1	0	0	1
DRR125060	SAMD00112579	1	0	1	1	1	0	1
DRR125061	SAMD00112580	1	0	1	1	0	0	1
DRR125062	SAMD00112581	1	0	1	1	1	0	1
DRR125063	SAMD00112582	1	0	1	1	0	0	0
DRR125064	SAMD00112583	1	0	1	1	0	0	0
DRR125065	SAMD00112584	1	0	1	1	0	0	0
DRR125066	SAMD00112585	1	1	0	1	0	0	0
DRR125067	SAMD00112597	1	0	1	1	1	0	0
DRR125668	SAMD00113231	1	0	0	0	0	0	0
DRR128837	SAMD00116246	1	1	0	0	0	0	0
DRR138480	SAMD00127160	1	0	0	0	1	0	1
DRR140897	SAMD00129392	1	0	1	1	0	0	1
DRR140900	SAMD00129395	1	0	1	1	0	0	1
DRR140903	SAMD00129398	1	0	1	1	1	0	1
DRR140922	SAMD00059761	1	0	1	1	1	0	0
DRR148479	SAMD00135336	0	0	0	1	0	0	0
DRR148480	SAMD00135337	1	0	1	1	1	0	0
DRR148482	SAMD00135339	1	0	1	1	1	0	1
DRR148483	SAMD00135340	1	0	1	1	0	0	1
DRR148484	SAMD00135341	0	0	1	1	1	0	1
DRR150010	SAMD00137678	1	0	1	1	0	1	0
DRR150298	SAMD00137753	1	0	1	1	0	0	1
DRR150299	SAMD00137754	1	0	1	1	0	0	1
DRR150302	SAMD00137757	1	0	1	1	0	0	1
DRR150304	SAMD00137759	1	0	1	1	0	0	1
DRR150305	SAMD00137760	1	0	1	1	0	0	1
DRR150306	SAMD00137761	1	0	0	1	0	1	1
DRR150308	SAMD00137763	1	0	1	0	0	0	0
DRR150309	SAMD00137764	1	0	1	1	0	0	1
DRR150310	SAMD00137765	1	0	1	1	0	0	1
