sample_id	aac6-Ib-cr	blaCTX-M-14	blaCTX-M-15	blaCTX-M-27	blaCTX-M-65	blaKPC-2	blaNDM-1	blaNDM-5	blaOXA-181	blaOXA-48	blaTEM-1	qnrB1	pcn_aac6-Ib-cr	pcn_blaCTX-M-14	pcn_blaCTX-M-15	pcn_blaCTX-M-27	pcn_blaCTX-M-65	pcn_blaKPC-2	pcn_blaNDM-1	pcn_blaNDM-5	pcn_blaOXA-181	pcn_blaOXA-48	pcn_blaTEM-1	pcn_qnrB1
ERR025489	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2552			0.0	0.0			0.0	0.0	0.0044
ERR025492	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.065		0.0698			0.0	0.0048			0.0	0.1011	0.1204
ERR025495	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2838			0.0	0.03			0.0095	0.9891	0.0218
ERR025497	0	-1	2	-1	-1	0	0	-1	-1	0	0	0	0.0453		2.9749			0.0	0.0263			0.0012	0.1897	0.0167
ERR025502	0	-1	1	-1	-1	0	0	-1	-1	0	0	1	0.0014		0.7205			0.0029	0.1037			0.0	0.1297	0.4107
ERR025511	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2003			0.0	0.002			0.014	0.0	0.1236
ERR025521	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR025522	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0024		0.0035			0.0	0.0			0.0	0.0	0.0
ERR025531	0	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.0012		1.7201			0.0	0.0			0.0046	0.2846	0.0174
ERR025536	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2103			0.0	0.1258			0.0	0.4454	0.0
ERR025543	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0036		0.0			0.0	0.0			0.0	0.0009	0.0
ERR025549	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0061			0.0	0.0			0.0	0.0	0.003
ERR025553	1	-1	1	-1	-1	0	0	-1	-1	1	1	1	0.5036		0.9781			0.0	0.0198			0.44	0.6475	0.9562
ERR025558	0	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.0		5.5634			0.0	0.0			0.0382	1.0386	0.0297
ERR025560	0	-1	0	-1	-1	0	1	-1	-1	0	1	0	0.0		0.304			0.0	0.3279			0.0	0.7427	0.0087
ERR025563	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.1207			0.0	0.0			0.0	0.0	0.0
ERR025582	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0246			0.0	0.0			0.0	0.0	0.0
ERR025590	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0454		0.3294			0.0	0.0			0.0	0.0611	0.0059
ERR025596	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0031			0.0	0.0021			0.0	0.0	0.0
ERR025599	0	-1	1	-1	-1	0	2	-1	-1	0	2	0	0.0		0.7486			0.0	2.7919			0.0	1.9191	0.0116
ERR025602	0	-1	2	-1	-1	0	0	-1	-1	0	2	0	0.0		2.5721			0.0	0.0097			0.0	1.8055	0.0049
ERR025603	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2037			0.0	0.0			0.0	0.0024	0.0
ERR025606	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.3198			0.0	0.0039			0.0	0.0015	0.0008
ERR025607	0	-1	0	-1	-1	0	1	-1	-1	0	1	0	0.0		0.4447			0.0406	0.8862			0.0	0.484	0.004
ERR025610	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.1852			0.0	0.0			0.0	0.0	0.022
ERR025614	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.3132			0.0	0.0626			0.0	0.1857	0.0086
ERR025632	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0		1.3781			0.0079	0.1211			0.0	1.1684	0.0368
ERR025637	0	-1	2	-1	-1	0	1	-1	-1	1	1	0	0.0402		1.7809			0.006	0.7735			0.7765	0.9553	0.0119
ERR025640	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.4815			0.0	0.0			0.0	0.0074	0.0
ERR025641	0	-1	0	-1	-1	0	1	-1	-1	0	0	0	0.0		0.4178			0.001	0.817			0.0	0.0	0.0
ERR025644	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0075		0.0			0.0	0.0			0.0	0.0	0.0
ERR025646	2	-1	2	-1	-1	0	1	-1	-1	0	1	0	1.9468		3.1502			0.0124	0.3491			0.0	1.4382	0.0576
ERR025647	1	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.2296		0.684			0.0094	0.0126			0.0	0.9072	0.022
ERR025651	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0332			0.0	0.0			0.0	0.0051	0.0
ERR025653	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2812			0.0	0.0032			0.0	0.5463	0.0
ERR025658	0	-1	0	-1	-1	0	0	-1	-1	0	2	0	0.0		0.2892			0.0145	0.0254			0.0	1.8125	0.0133
ERR025659	0	-1	0	-1	-1	0	0	-1	-1	0	2	0	0.0		0.3123			0.0173	0.0199			0.0	1.9291	0.0121
ERR025661	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0228		0.0532			0.0033	0.0879			0.0	0.1477	0.0119
ERR025664	1	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.1262		0.2736			0.0	0.0			0.0	0.9097	0.0478
ERR025668	0	-1	0	-1	-1	0	0	-1	-1	0	2	0	0.0		0.3006			0.013	0.025			0.0	1.9202	0.0121
ERR025679	0	-1	0	-1	-1	0	0	-1	-1	0	1	1	0.008		0.1598			0.0027	0.0221			0.0	0.4525	0.5027
ERR025981	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.4369			0.0	0.0			0.0	1.1676	0.0075
ERR025986	0	-1	0	-1	-1	0	1	-1	-1	0	0	0	0.0526		0.1215			0.0	0.3117			0.0	0.0	0.0121
ERR025998	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0575		0.463			0.0	0.0			0.0	0.9481	0.0254
ERR10016582	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.3269			0.0	0.0055			0.0	0.1616	0.0
ERR10016620	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.3634			0.0	0.0			0.0	0.3979	0.0
ERR10016636	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2438			0.0	0.0			0.0	0.115	0.0
ERR10016641	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2275			0.0	0.0			0.0	0.1032	0.0
ERR10016665	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2698			0.0	0.0012			0.0	0.2704	0.0
ERR10016666	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2959			0.0	0.0			0.0	0.181	0.0
ERR10016684	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0		0.5096			0.0	0.0033			0.0	0.4355	0.0005
ERR10016688	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.4857			0.0	0.0			0.0	0.3888	0.0
ERR10016699	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2249			0.0	0.0			0.0	0.1536	0.0
ERR10017972	1	-1	1	-1	-1	0	2	-1	-1	0	1	0	0.3431		1.2086			0.003	3.8375			0.0137	1.3165	0.01
ERR10019338	0	-1	1	-1	-1	0	0	-1	-1	2	1	2	0.0007		1.271			0.0026	0.0321			68.4056	0.6867	2.8751
ERR10030657	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0342		0.4628			0.0009	0.0026			0.0	0.8344	0.0184
ERR10030691	2	-1	2	-1	-1	0	1	-1	-1	0	1	0	3.0705		4.4512			0.0	0.2614			0.0021	1.1079	0.0467
ERR10030697	1	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.6502		1.5954			0.0	0.0767			0.0	0.5306	0.0174
ERR10030712	1	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.8612		2.5257			0.0	0.0989			0.0	0.8783	0.0323
ERR10030721	0	-1	0	-1	-1	2	2	-1	-1	0	1	0	0.0406		0.4344			2.1266	3.4344			0.0	0.8859	0.0187
ERR10030723	0	-1	1	-1	-1	2	2	-1	-1	0	1	0	0.0208		0.5279			2.1683	3.565			0.0	0.8339	0.0273
ERR10030738	2	-1	2	-1	-1	0	0	-1	-1	0	1	2	2.4273		2.0615			0.0166	0.02			0.0341	0.7315	5.6775
ERR10030753	1	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.5921		0.9512			0.0015	0.0015			0.0	0.5046	0.0132
ERR10030755	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0009		0.3056			0.0054	0.0			0.0	0.4521	0.0018
ERR10030757	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0068		0.333			0.0	0.0019			0.0	0.2863	0.0253
ERR10030769	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0016			0.0016	0.0			0.0	0.0	0.0031
ERR10030815	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.5013		0.8964			0.0027	0.0007			0.0	0.4913	2.1682
ERR10030818	0	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.0063		2.1067			0.0	0.0009			0.0262	0.7535	0.1918
ERR10030839	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0105		0.1079			0.0032	0.0016			0.0	0.6159	0.0298
ERR10030842	1	-1	1	-1	-1	0	0	-1	-1	0	2	1	0.2228		0.562			0.0008	0.0			0.0	1.9816	0.2178
ERR10030844	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.009		0.1272			0.0014	0.0007			0.0	0.349	0.009
ERR10030855	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0942		0.2733			0.0017	0.0			0.0	0.3875	0.0183
ERR10030858	0	-1	2	-1	-1	0	0	-1	-1	0	2	0	0.0177		1.5			0.0096	0.0			0.0	3.2016	0.0155
ERR10030865	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.7206		1.2328			0.0024	0.0024			0.0008	0.6361	2.9566
ERR10030868	1	-1	2	-1	-1	0	0	-1	-1	0	1	2	0.5689		1.5856			0.004	0.0024			0.0024	0.542	2.2924
ERR10030879	1	-1	1	-1	-1	1	0	-1	-1	0	1	0	0.7333		1.0036			1.1538	0.0009			0.0	0.3387	0.0711
ERR10030883	1	-1	0	-1	-1	0	0	-1	-1	0	1	2	0.6188		0.4903			0.002	0.0357			0.0	0.6198	3.4659
ERR10030888	0	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.0199		1.0391			0.0	0.0			0.0044	0.3242	2.9978
ERR10030890	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0135		0.0415			0.0	0.0			0.0	0.0099	0.0343
ERR10030893	1	-1	0	-1	-1	0	0	-1	-1	0	1	2	0.5545		0.3162			0.0011	0.0331			0.0011	0.5385	2.5673
ERR10030895	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0321		0.3936			0.0009	0.0009			0.0	1.2917	0.1128
ERR10030898	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.6532		1.173			0.0	0.0009			0.0017	0.3115	2.994
ERR10030913	1	-1	2	-1	-1	0	0	-1	-1	0	1	2	0.9626		2.0991			0.0047	0.1467			0.0112	0.8411	4.0047
ERR10030915	1	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.2272		0.3787			0.0034	0.0			0.0	0.2857	0.0293
ERR10030962	0	-1	1	-1	-1	0	0	-1	-1	0	2	0	0.0669		0.6599			0.0053	0.0008			0.0	1.8031	0.0902
ERR10030964	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2115			0.0018	0.0			0.0	0.5599	0.0018
ERR10030967	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.079		0.5925			0.0054	0.0			0.0	1.1741	0.0709
ERR10030983	1	-1	2	-1	-1	0	0	-1	-1	0	2	1	0.1357		1.723			0.0194	0.0014			0.0	1.8892	0.2992
ERR10030996	1	-1	0	-1	-1	0	0	-1	-1	2	0	0	0.4527		0.483			0.0049	0.0016			2.9316	0.0065	0.027
ERR10031011	1	-1	2	-1	-1	0	0	-1	-1	0	1	2	0.7157		1.9919			0.0	0.0			0.0	0.5759	2.7649
ERR10031012	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.513		1.1203			0.0	0.0			0.0481	0.4866	1.8701
ERR10031023	1	-1	2	-1	-1	0	0	-1	-1	0	1	2	0.5825		1.6823			0.0	0.0			0.0017	0.4802	2.4472
ERR10031039	2	-1	2	-1	-1	0	0	-1	-1	0	1	0	2.1164		1.8318			0.0173	0.0616			0.0023	1.0841	0.0368
ERR10031040	1	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.9279		1.7115			0.0	0.0			0.028	0.8088	0.042
ERR10031043	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.005		0.1526			0.0	0.0			0.0	0.4208	0.0007
ERR10031044	1	-1	1	-1	-1	2	0	-1	-1	0	1	2	0.5233		1.3984			1.8188	0.0026			0.0	0.7951	2.5488
ERR10031049	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0309		0.5697			0.0037	0.0009			0.0	0.4294	0.0187
ERR10031061	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0215		0.514			0.0008	0.0			0.0	0.4222	0.0271
ERR10031065	0	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.0		0.8455			0.0025	0.0017			0.0017	0.4684	2.2558
ERR10031098	0	-1	2	-1	-1	2	0	-1	-1	0	1	0	0.0606		1.8904			2.2967	0.0036			0.0107	1.3372	0.0339
ERR10031118	1	-1	2	-1	-1	2	0	-1	-1	0	2	0	0.1386		2.0682			3.0946	0.0			0.0	2.1991	0.0418
ERR10031127	0	-1	1	-1	-1	2	0	-1	-1	0	1	0	0.0767		0.7549			1.8952	0.1254			0.0	1.1254	0.0187
ERR10031137	0	-1	0	-1	-1	1	0	-1	-1	0	1	1	0.0278		0.4487			0.8634	0.1335			0.0	0.9315	0.2463
ERR10031143	0	-1	1	-1	-1	2	0	-1	-1	0	1	0	0.0545		0.6827			1.8934	0.0064			0.0	0.7893	0.0256
ERR10039993	2	-1	1	-1	-1	0	2	-1	-1	0	1	0	1.5363		0.7863			0.0	1.871			0.0	0.6169	0.004
ERR10040002	0	-1	0	-1	-1	0	0	-1	-1	0	1	2	0.0268		0.3805			0.0	0.0			0.0	0.322	2.8854
ERR10040003	1	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.2567		0.3503			0.0	0.0			0.0	0.2219	0.0428
ERR10040005	2	-1	0	-1	-1	0	0	-1	-1	0	0	1	3.1425		0.0025			0.0	0.0			0.0	0.0	1.1175
ERR10040020	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0289		1.2966			0.0	0.0			0.0577	0.3832	0.0315
ERR10040023	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.454			0.0	0.023			0.0	0.2759	0.0
ERR10040036	0	-1	1	-1	-1	0	0	-1	-1	2	0	0	0.0		0.9825			0.0	0.0			13.4094	0.1287	0.0292
ERR10040045	1	-1	2	-1	-1	0	0	-1	-1	2	1	2	1.2741		1.8494			0.006	0.0			5.1898	0.8855	3.5843
ERR10040060	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0127	0.0
ERR10040065	2	-1	0	-1	-1	0	0	-1	-1	0	0	0	1.5076		0.1068			0.0	0.0			0.0	0.0	0.0065
ERR10040068	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0914			0.0	0.0			0.0	0.3147	0.0
ERR10040071	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.5298		0.9405			0.0	0.0			0.0	0.3423	3.4881
ERR10040080	0	-1	1	-1	-1	0	1	-1	-1	0	1	0	0.0		0.6828			0.0	0.8157			0.0	0.2991	0.0
ERR10040100	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.4228		0.8478			0.0	0.0			0.0	0.4397	1.8626
ERR10040104	1	-1	1	-1	-1	0	0	-1	-1	0	1	1	0.5602		1.1518			0.0	0.0			0.0	0.267	1.2016
ERR10040105	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0		0.5266			0.0	0.0			0.0	0.2633	0.0
ERR1008637	0	-1	0	-1	-1	0	1	-1	-1	0	1	0	0.0		0.12			0.0	0.6373			0.0	0.404	0.004
ERR1008640	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0052			0.0	0.0			0.0	0.0	0.0013
ERR1008646	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.2963			0.0	0.0			0.0	0.2728	0.0248
ERR1008649	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1008651	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0025		0.0271			0.0	0.0049			0.0	0.016	0.0321
ERR1008667	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0055		0.0338			0.0	0.0			0.0	0.1306	0.0192
ERR1008673	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1008676	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0344			0.0	0.0			0.0	0.0019	0.0
ERR1008679	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0049		0.1923			0.0	0.0			0.0	0.001	0.0335
ERR1008681	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.5012			0.0	0.1171			0.0	0.0	0.0023
ERR1008690	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.3461			0.0	0.0			0.0	0.0056	0.0011
ERR1008691	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0054			0.0	0.0			0.0	0.0063	0.0
ERR1008692	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.75		1.4073			0.0	0.0			0.001	1.1031	2.825
ERR1008695	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0338		0.5507			0.0	0.0			0.0	0.8507	0.0352
ERR1008697	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1008699	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0009	0.0
ERR1008706	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1008710	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.1136			0.0	0.0574			0.0	0.1368	0.0024
ERR1008716	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.055		0.0568			0.0	0.0			0.0009	0.0	0.0252
ERR1008719	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.9515			0.0	0.0358			0.0	0.1697	0.0053
ERR1008757	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.838			0.0	0.1114			0.0	0.1575	0.0015
ERR1008765	0	-1	2	-1	-1	0	1	-1	-1	2	1	0	0.0411		1.6694			0.0	0.7434			6.2599	0.8289	0.0115
ERR1008770	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1008782	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0112			0.0	0.0011			0.0	0.0	0.0
ERR10106044	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.2517		0.883			0.0	0.0			0.0	0.335	1.5489
ERR1015282	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0225			0.0	0.0			0.0	0.001	0.0
ERR1015285	1	-1	2	-1	-1	0	0	-1	-1	0	1	2	1.2139		2.1514			0.0	0.0			0.0	0.7119	4.8428
ERR1015292	1	-1	0	-1	-1	0	0	-1	-1	0	0	2	0.687		0.1941			0.0	0.0			0.0	0.0029	2.9029
ERR1015300	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0805			0.0	0.0			0.0	0.3123	0.0
ERR1015309	0	-1	1	-1	-1	0	1	-1	-1	0	0	0	0.0		0.9179			0.0	0.8499			0.0	0.1145	0.1987
ERR10178326	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0502			0.0	0.0			0.0	0.0	0.0
ERR10178493	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR10230823	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.4847			0.0	0.0			0.0	0.0437	0.0087
ERR1023628	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.7792		1.0459			0.0	0.0			0.0	0.5541	2.9814
ERR1023634	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.6096			0.0	0.039			0.0	0.1622	0.002
ERR1023637	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1023640	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0731			0.0	0.0			0.0	0.0	0.0
ERR1023642	0	-1	0	-1	-1	0	1	-1	-1	0	0	0	0.0		0.4767			0.0	1.2116			0.0	0.1244	0.0058
ERR1023669	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.5154			0.0	0.0			0.0024	0.0	0.0
ERR1023672	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1023677	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0716			0.0	0.0889			0.0	0.2296	0.0
ERR1023686	2	-1	2	-1	-1	0	0	-1	-1	0	1	2	3.6938		4.256			0.0	0.0			0.0323	0.8325	4.3074
ERR1023688	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR1023694	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0012	0.0
ERR1023701	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0183		0.1112			0.0	0.0373			0.0	0.0	0.0191
ERR1023722	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.2347			0.0	0.0			0.0	0.0	0.001
ERR1023724	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0021			0.0	0.0			0.0	0.0021	0.0
ERR1023738	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0452			0.0	0.0			0.0	0.4232	0.0
ERR1023744	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.6058		0.8549			0.0	0.0			0.0	0.4474	2.4208
ERR1023746	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.1239			0.0	0.0242			0.0	0.2652	0.0203
ERR1023766	0	-1	1	-1	-1	0	0	-1	-1	0	0	0	0.0		0.6637			0.0	0.1154			0.0	0.1665	0.1543
ERR1023777	1	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.5664		0.8831			0.0	0.0			0.0128	0.3719	0.0372
ERR1023779	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.0		0.6755			0.0	0.0011			0.0	0.5607	0.0
ERR1023783	1	-1	1	-1	-1	0	0	-1	-1	0	1	2	0.638		0.9193			0.0	0.0			0.0	0.8896	2.5722
SRR20994946	0	-1	0	-1	-1	2	0	-1	-1	0	1	0	0.0		0.0465			23.2192	0.0			0.0	0.336	0.0
SRR28040641	1	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.302		0.2393			0.0	0.0			0.0	0.1122	0.066
SRR29042783	0	-1	0	-1	-1	2	0	-1	-1	0	0	0	0.0		0.0			16.3539	0.0			0.0	0.0	0.0
SRR29674648	0	-1	1	-1	-1	0	0	-1	-1	0	1	0	0.003		1.1669			0.1177	0.0			0.0	0.5917	0.1699
