bin_cluster	max_n_STs	best_q	genes	KEGG_pathways	nearest_IS	AMR_within_20kb
2331	2	5.706914395949721e-06	KPHS_23010	—	IS66 (34kb)	clpV/tssH[vfdb]; dotU/tssL[vfdb]; hcp/tssD[vfdb]; icmF/tssM[vfdb]; ompA[vfdb]; tssF[vfdb]; tssG[vfdb]; vasE/tssK[vfdb]; vipA/tssB[vfdb]; vipB/tssC[vfdb]
2922	2	6.337031138932602e-05	KPHS_29230, KPHS_29240	Tyrosine metabolism (1); Phenylalanine metabolism (1); Xylene degradation (1)	IS3 (119kb)	none
2623	2	0.0001746945501626	KPHS_26060	Two-component system (1)	IS1380 (56kb)	iroE[vfdb]
1909	2	0.0001805005248267	KPHS_18420, KPHS_18430	—	IS1380 (142kb)	none
4639	2	0.0003560037439456	KPHS_46150, KPHS_46160	—	IS5 (124kb)	none
3429	2	0.0003560742705952	KPHS_34560	—	IS5 (148kb)	irp1[vfdb]; irp2[vfdb]; rcsA[vfdb]; ybtA[vfdb]; ybtP[vfdb]; ybtQ[vfdb]; ybtS[vfdb]; ybtX[vfdb]
3067	2	0.0004530238736027	KPHS_30750, KPHS_30760	—	IS3 (23kb)	none
2705	2	0.0015782985513982	KPHS_26930, KPHS_26940, KPHS_26950	Ascorbate and aldarate metabolism (2); Microbial metabolism in diverse environments (2); Phosphotransferase system (PTS) (2)	IS1380 (22kb)	none
1625	2	0.0033526890360132	KPHS_15590, KPHS_15600	—	IS3 (105kb)	none
4090	2	0.0077297895102564	KPHS_40500, KPHS_40510	—	IS1380 (within)	none
