bin_cluster	n_bins	approx_pos_Mb	genes	products	KEGG_pathways	EC	max_n_STs	best_q	antibiotics
4695	1	4.7	KPHS_46730, KPHS_46740	alpha-dehydro-beta-deoxy-D-glucarate aldolase / putative transport protein	Ascorbate and aldarate metabolism (1)	4.1.2.20	3	0.006623556129501	ceftriaxone
3237	1	3.24	KPHS_32470, KPHS_32480	type VI secretion system lipoprotein TssJ / type VI secretion system baseplate subunit TssG	Bacterial secretion system (1)	—	3	0.007071587355346	cefepime, cefoxitin, ceftriaxone
2695	1	2.69	KPHS_26810, KPHS_26820, KPHS_26830	putative acetylornithine deacetylase / cell envelope integrity inner membrane protein / N-acylhomoserine lactone degredation protein AhlK	Lysine biosynthesis (1); Microbial metabolism in diverse environments (1); Biosynthesis of amino acids (1)	3.1.1.81 | 3.5.1.18	3	0.0084016785734457	ceftriaxone
4584	1	4.58	KPHS_45590, KPHS_45600, KPHS_45610	2,5-diketo-D-gluconate reductase A / GNAT family N-acetyltransferase / radical SAM domain-containing protein	—	1.1.1.346	3	0.0200301919575079	cefepime, ceftriaxone
5287	1	5.29	KPHS_52680, KPHS_52690	putative mandelate racemase/muconate lactonizing enzyme / putative keto-hydroxyglutarate-aldolase/keto- deoxy- phosphogluconate aldolase	Galactose metabolism (2); Microbial metabolism in diverse environments (1)	4.1.2.21 | 4.2.1.6	3	0.0247635674575997	ceftriaxone
2280	1	2.28	KPHS_22350, KPHS_22360	putative intracellular protease/amidase / site-specific integrase	—	3.5.1.124	2	2.6406055667393956e-06	cefazolin, cefepime, cefoxitin, ceftriaxone
3884	1	3.88	KPHS_38540	ethanolamine ammonia-lyase, heavy chain	Glycerophospholipid metabolism (1)	4.3.1.7	2	4.290804797047863e-06	cefazolin, cefepime, cefoxitin, ceftriaxone
2331	1	2.33	KPHS_23010	OmpA/MotB domain-containing protein	—	—	2	5.706914395949721e-06	cefazolin, cefepime, cefoxitin, ceftriaxone
2922	1	2.92	KPHS_29230, KPHS_29240	Zinc-containing alcohol dehydrogenase superfamily protein / putative carboxylesterase	Tyrosine metabolism (1); Phenylalanine metabolism (1); Xylene degradation (1)	1.1.1.90	2	6.337031138932602e-05	cefazolin, cefepime, cefoxitin, ceftriaxone
2623	1	2.62	KPHS_26060	putative fimbrial biogenesis outer membrane usher protein	Two-component system (1)	—	2	0.0001746945501626	cefazolin, cefepime, cefoxitin, ceftriaxone
1909	1	1.91	KPHS_18420, KPHS_18430	diaminopropionate ammonia-lyase / putative transmembrane amino acid transporter protein	—	4.3.1.15	2	0.0001805005248267	cefepime, ceftriaxone
4639	1	4.64	KPHS_46150, KPHS_46160	putative major Intrinsic protein channel, glycerol diffusion / glycerol dehyrdratase activator	—	—	2	0.0003560037439456	cefepime, cefoxitin, ceftriaxone
3429	1	3.43	KPHS_34560	LysR family transcriptional regulator	—	—	2	0.0003560742705952	cefazolin, cefepime, ceftriaxone
3067	1	3.07	KPHS_30750, KPHS_30760	putative sugar transport protein / glyoxalase I, nickel isomerase	—	—	2	0.0004530238736027	cefepime, cefoxitin, ceftriaxone
2705	1	2.71	KPHS_26930, KPHS_26940, KPHS_26950	PTS family protein II component / PTS system protein / putative periplasmic binding protein/LacI transcriptional regulator	Ascorbate and aldarate metabolism (2); Microbial metabolism in diverse environments (2); Phosphotransferase system (PTS) (2)	2.7.1.194	2	0.0015782985513982	ceftriaxone
1625	1	1.62	KPHS_15590, KPHS_15600	DUF979 domain-containing protein / pyroglutamyl-peptidase I	—	3.4.19.3	2	0.0033526890360132	cefepime, ceftriaxone
4090	1	4.09	KPHS_40500, KPHS_40510	DUF21 domain-containing protein / transposase	—	—	2	0.0077297895102564	cefepime, ceftriaxone
